CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
118;LC;6830;B;21.0;0;;2.05141;739,17;0.13659;Azul;241;;0
127;LC;6851;E;;0;;1.823;541,00;0.168;Azul;281;;0
169;MT;7025;B;;0;;1.425;702,00;0.196;Azul;285;;0
36;CH;7402;E;;0;;2.179;678,70;0.073;Azul;271;;0
33;CH;7537;E;;0;;1.51615;601,52;0.22582;Azul;271;;0
143;MT;7830;B;;0;;2.21498;657,44;0.32798;Azul;285;;0
94;LC;7924;B;;0;;2.609;633,40;0.097;Azul;281;0.0;0
161;MT;8132;B;;0;;2.54366;769,74;0.13884;Azul;285;;0
62;CN;8199;A;18.0;0;;2.94609;643,24;0.12312;Azul;235;;0
92;LC;8265;E;5.0;0;;4.02455;541,76;0.15192;Azul;241;0.0;0
87;CN;8594;D;13.0;0;;3.01163;643,93;0.09562;Azul;235;;0
36;CH;8635;B;2.0;0;;1.48784;674,82;0.25985;Azul;231;;0
78;CN;9102;D;;0;;2.66788;570,93;0.17223;Azul;275;;0
66;CN;9302;E;29.0;0;;3.40327;765,29;0.10534;Azul;235;;0
151;MT;9431;E;;0;;3.073;736,00;0.08;Azul;285;;0
66;CN;9440;C;;0;;2.5243;754,19;0.34476;Azul;275;;0
9;CH;9547;E;;0;;1.20147;586,97;0.21038;Azul;271;;0
11;CH;9704;B;;0;;2.213;641,50;0.162;Azul;271;;0
30;CH;9954;D;;0;;2.67087;755,17;0.20912;Azul;271;;0
55;CN;10041;D;;0;;1.34535;698,43;0.18867;Azul;275;;0
5;CH;10413;D;;0;;2.20567;568,03;0.20512;Azul;271;;0
106;LC;10523;D;;0;;4.22675;512,23;0.17411;Azul;281;;0
63;CN;10649;D;;0;;2.33719;674,17;0.19743;Azul;275;;0
78;CN;10883;E;3.0;0;;0.49684;465,77;0.03024;Azul;235;;0
79;CN;11265;B;;0;;3.45012;558,04;0.186;Azul;275;;0
58;CN;11392;B;25.0;0;;1.97347;582,19;0.21998;Azul;235;;0
82;CN;11630;E;17.0;0;;1.40728;611,50;0.16506;Azul;235;;0
53;CN;11753;C;;0;;1.10248;585,74;0.22884;Azul;275;;0
62;CN;11930;C;;0;;1.03817;637,49;0.33234;Azul;275;;0
82;CN;11968;B;;0;;2.83182;612,38;0.19208;Azul;275;;0
159;MT;12222;D;;0;;1.85241;723,43;0.11141;Azul;285;;0
70;CN;12518;A;;0;;3.00688;711,97;0.19693;Azul;275;;0
64;CN;12619;B;;0;;1.66546;580,75;0.18004;Azul;275;;0
61;CN;12710;D;9.0;0;;2.68585;634,19;0.13539;Azul;235;;0
177;MT;12753;B;;0;;2.09475;544,47;0.18491;Azul;285;;0
90;CN;12755;D;;0;;3.67407;602,03;0.1745;Azul;275;;0
91;LC;12762;D;7.0;0;;1.329;544,90;0.21;Azul;241;1.0;0
93;LC;12892;C;;0;;4.582;599,70;0.138;Azul;281;0.0;0
71;CN;13038;B;26.0;0;;2.28578;726,05;0.2274;Azul;235;;0
110;LC;13178;E;;0;;1.004;686,40;0.121;Azul;281;;0
59;CN;13934;A;24.0;0;;3.29756;606,40;0.21395;Azul;235;;0
164;MT;13972;D;;0;;1.42406;668,86;0.17033;Azul;285;;0
126;LC;14008;C;;0;;1.4672;581,73;0.22916;Azul;281;;0
29;CH;14258;E;20.0;0;;1.96986;566,20;0.05233;Azul;231;;0
142;MT;14712;C;28.0;0;;1.06024;476,15;0.20527;Azul;245;;0
22;CH;14731;E;4.0;0;;1.71998;635,82;0.1909;Azul;231;;0
96;LC;14842;E;4.0;0;;2.53513;480,04;0.20425;Azul;241;;0
132;LC;15031;A;;0;;2.42091;489,07;0.20459;Azul;281;;0
93;LC;15119;A;7.0;0;;2.733;566,50;0.157;Azul;241;0.0;0
134;LC;15187;E;;0;;1.20661;670,45;0.24024;Azul;281;;0
168;MT;15252;C;;0;;2.53116;592,02;0.16047;Azul;285;;0
162;MT;15876;E;5.0;0;;1.74749;759,32;0.14249;Azul;245;;0
168;MT;15890;D;28.0;0;;3.41203;887,93;0.05419;Azul;245;;0
7;CH;15904;A;;0;;1.55271;511,94;0.19389;Azul;271;;0
52;CN;15919;A;18.0;0;;1.60247;664,07;0.16849;Azul;235;;0
7;CH;15931;E;9.0;0;;4.05683;656,77;0.21096;Azul;231;;0
120;LC;16465;B;;0;;1.82811;667,15;0.25666;Azul;281;;0
95;LC;16508;B;;0;;2.02837;528,34;0.21851;Azul;281;1.0;0
51;CN;16863;C;;0;;2.55606;638,23;0.11273;Azul;275;;0
152;MT;16923;D;;0;;2.80308;717,13;0.11508;Azul;285;;0
20;CH;17197;C;15.0;0;;3.12528;715,38;0.15346;Azul;231;;0
118;LC;17341;D;;0;;3.15233;650,87;0.19175;Azul;281;;0
63;CN;17436;D;21.0;0;;1.42594;540,98;0.03604;Azul;235;;0
114;LC;17469;D;30.0;0;;1.06835;487,33;0.20472;Azul;241;;0
23;CH;17508;E;14.0;0;;2.32054;767,35;0.26115;Azul;231;;0
48;CN;17715;C;15.0;0;;2.63796;587,89;0.18468;Azul;235;;0
69;CN;17718;E;15.0;0;;2.09921;664,84;0.12058;Azul;235;;0
19;CH;17926;A;;0;;2.08722;614,52;0.191;Azul;271;;0
105;LC;17927;B;;0;;3.00635;647,28;0.18815;Azul;281;;0
60;CN;17984;A;24.0;0;;3.97312;711,42;0.1322;Azul;235;;0
77;CN;17985;C;26.0;0;;4.61633;702,94;0.16653;Azul;235;;0
73;CN;17988;D;;0;;3.33972;603,04;0.14696;Azul;275;;0
37;CH;18011;B;11.0;0;;1.41913;600,43;0.21614;Azul;231;;0
54;CN;18111;C;;0;;1.31995;726,30;0.2598;Azul;275;;0
69;CN;18378;A;;0;;2.67869;617,20;0.1697;Azul;275;;0
26;CH;18446;C;;0;;2.83093;690,62;0.20001;Azul;271;;0
43;CH;18591;A;1.0;0;;2.2504;623,95;0.22323;Azul;231;;0
47;CN;18682;D;;0;;2.64876;511,37;0.17311;Azul;275;;0
32;CH;18706;C;;0;;1.69463;733,15;0.23653;Azul;271;;0
18;CH;18721;C;;0;;1.40999;587,43;0.20289;Azul;271;;0
56;CN;18933;C;;0;;3.89691;700,40;0.19491;Azul;275;;0
52;CN;18942;B;;0;;3.4275;670,15;0.14901;Azul;275;;0
115;LC;19458;C;;0;;1.21373;636,71;0.28455;Azul;281;;0
8;CH;19661;B;;0;;2.17772;661,53;0.17107;Azul;271;;0
87;CN;20009;D;;0;;0.91355;488,84;0.23861;Azul;275;;0
22;CH;20410;D;;0;;3.1044;536,89;0.194;Azul;271;;0
99;LC;20578;E;;0;;2.99669;505,37;0.17182;Azul;281;;0
98;LC;20665;E;;0;;3.34964;632,88;0.09443;Azul;281;;0
43;CH;20765;A;;0;;2.49222;494,18;0.2057;Azul;271;;0
18;CH;22579;B;22.0;0;;1.2352;624,00;0.25203;Azul;231;;0
153;MT;22634;C;;0;;2.14515;598,06;0.24115;Azul;285;;0
135;LC;22805;C;;0;;1.99636;505,68;0.19208;Azul;281;;0
25;CH;22875;B;10.0;0;;1.66136;583,89;0.0888;Azul;231;;0
172;MT;22887;B;;0;;3.30711;676,93;0.20046;Azul;285;;0
129;LC;22926;C;;0;;2.78959;465,97;0.20297;Azul;281;;0
102;LC;22975;A;;0;;1.76008;696,73;0.30622;Azul;281;;0
92;LC;23016;B;;0;;3.76894;541,83;0.23071;Azul;281;0.0;0
93;LC;23059;A;;0;;2.99752;533,57;0.17073;Azul;281;1.0;0
24;CH;23109;D;;0;;1.73173;657,14;0.17161;Azul;271;;0
157;MT;23312;E;;0;;2.73298;706,92;0.17023;Azul;285;;0
155;MT;23459;B;;0;;2.1906;679,71;0.23359;Azul;285;;0
123;LC;23502;E;26.0;0;;2.80399;541,22;0.17945;Azul;241;;0
131;LC;23825;B;;0;;2.49925;680,91;0.25385;Azul;281;;0
111;LC;23846;B;;0;;2.8036;517,65;0.22272;Azul;281;;0
75;CN;23907;C;;0;;2.28964;528,91;0.2357;Azul;275;;0
2;CH;23952;B;;0;;2.43926;543,92;0.20033;Azul;271;;0
167;MT;24019;E;7.0;0;;1.03003;709,96;0.1707;Azul;245;;0
116;LC;24111;B;25.0;0;;2.75916;598,89;0.15191;Azul;241;;0
167;MT;24171;E;;0;;1.82628;584,64;0.14984;Azul;285;;0
76;CN;24183;E;;0;;1.14559;614,25;0.24072;Azul;275;;0
42;CH;24220;C;;0;;0.94434;537,49;0.22738;Azul;271;;0
142;MT;24254;A;;0;;2.93312;668,35;0.21436;Azul;285;;0
15;CH;24312;C;;0;;2.98378;642,88;0.16907;Azul;271;;0
109;LC;24418;B;;0;;2.73746;506,14;0.16773;Azul;281;;0
45;CH;24491;D;30.0;0;;1.46099;633,45;0.21994;Azul;231;;0
19;CH;24576;B;8.0;0;;3.51578;589,35;0.27377;Azul;231;;0
81;CN;24592;E;19.0;0;;2.6703;687,96;0.13692;Azul;235;;0
109;LC;24734;B;14.0;0;;1.61294;608,75;0.20465;Azul;241;;0
148;MT;24735;C;;0;;1.64209;580,78;0.16129;Azul;285;;0
41;CH;24822;C;28.0;0;;1.72981;654,53;0.15437;Azul;231;;0
23;CH;24827;C;;0;;5.08173;544,02;0.17168;Azul;271;;0
139;MT;25072;A;;0;;3.18627;526,95;0.24656;Azul;285;;0
5;CH;25075;A;13.0;0;;3.73153;643,81;0.11749;Azul;231;;0
100;LC;25128;A;;0;;0.93927;621,49;0.26579;Azul;281;;0
88;CN;25156;A;;0;;2.43925;513,50;0.19876;Azul;275;;0
29;CH;25251;C;;0;;3.07886;701,25;0.15855;Azul;271;;0
165;MT;25252;E;;0;;2.64297;669,45;0.1317;Azul;285;;0
84;CN;25304;C;;0;;3.68684;533,16;0.19877;Azul;275;;0
16;CH;25383;C;;0;;1.02285;576,58;0.22642;Azul;271;;0
95;LC;25519;E;;0;;1.68575;562,24;0.2096;Azul;281;0.0;0
33;CH;25555;A;17.0;0;;0.83638;677,39;0.28903;Azul;231;;0
83;CN;25580;D;28.0;0;;2.37617;647,13;0.17221;Azul;235;;0
34;CH;25582;E;;0;;1.3249;622,80;0.22558;Azul;271;;0
91;LC;25647;D;;0;;3.39261;612,73;0.11458;Azul;281;1.0;0
91;LC;25648;D;;0;;3.08994;574,02;0.24186;Azul;281;0.0;0
108;LC;25869;C;;0;;3.2875;617,63;0.16679;Azul;281;;0
110;LC;25924;D;13.0;0;;2.92092;715,47;0.30634;Azul;241;;0
84;CN;25964;C;26.0;0;;3.18005;634,98;0.19742;Azul;235;;0
144;MT;26004;C;;0;;1.16938;633,50;0.22347;Azul;285;;0
57;CN;26099;E;;0;;1.7026;577,88;0.17577;Azul;275;;0
125;LC;26204;E;;0;;2.03728;529,35;0.05493;Azul;281;;0
80;CN;26221;C;;0;;4.13162;634,71;0.26048;Azul;275;;0
148;MT;26277;A;8.0;0;;2.15675;594,35;0.1759;Azul;245;;0
46;CN;26333;C;;0;;4.32286;728,25;0.08522;Azul;275;;0
112;LC;26369;A;;0;;4.25602;524,97;0.17093;Azul;281;;0
8;CH;26381;C;18.0;0;;3.8316;615,53;0.27617;Azul;231;;0
58;CN;26403;B;;0;;1.83734;682,36;0.12715;Azul;275;;0
24;CH;26443;C;13.0;0;;3.09578;644,86;0.07028;Azul;231;;0
101;LC;26489;B;;0;;1.67033;539,63;0.21649;Azul;281;;0
51;CN;26581;C;27.0;0;;2.53298;590,08;0.19471;Azul;235;;0
41;CH;26582;D;;0;;1.17246;565,83;0.18784;Azul;271;;0
67;CN;26730;A;;0;;3.86762;656,30;0.25345;Azul;275;;0
59;CN;26971;E;;0;;2.21807;767,28;0.16822;Azul;275;;0
17;CH;26995;B;;0;;2.26979;547,35;0.19982;Azul;271;;0
85;CN;27019;D;;0;;2.52304;681,81;0.22237;Azul;275;;0
38;CH;27103;D;17.0;0;;2.89479;622,22;0.1929;Azul;231;;0
86;CN;27106;D;1.0;0;;0.94851;517,18;0.216;Azul;235;;0
81;CN;27153;B;;0;;1.66621;533,69;0.19964;Azul;275;;0
65;CN;27179;C;;0;;3.21064;679,65;0.24077;Azul;275;;0
79;CN;27229;A;18.0;0;;3.54575;619,90;0.08842;Azul;235;;0
133;LC;27233;C;;0;;3.09291;569,99;0.19055;Azul;281;;0
152;MT;27281;E;19.0;0;;2.81962;682,36;0.11266;Azul;245;;0
83;CN;27359;B;;0;;3.03709;682,32;0.16487;Azul;275;;0
171;MT;27383;D;;0;;1.79631;678,85;0.31483;Azul;285;;0
162;MT;27477;C;;0;;0.99234;635,65;0.23497;Azul;285;;0
138;MT;27827;C;;0;;2.55762;536,48;0.20609;Azul;285;;0
88;CN;27929;C;2.0;0;;1.29289;695,24;0.12244;Azul;235;;0
6;CH;27930;A;;0;;3.04414;529,82;0.19909;Azul;271;;0
20;CH;28077;A;;0;;1.87418;728,64;0.14128;Azul;271;;0
169;MT;28088;C;25.0;0;;2.15388;704,18;0.28781;Azul;245;;0
160;MT;28143;D;11.0;0;;2.84267;610,40;0.19698;Azul;245;;0
122;LC;28156;A;20.0;0;;2.93034;529,42;0.19785;Azul;241;;0
45;CH;28366;C;;0;;1.93621;568,27;0.18356;Azul;271;;0
74;CN;28572;A;11.0;0;;3.37114;652,38;0.2353;Azul;235;;0
144;MT;28578;A;13.0;0;;1.9866;668,44;0.2727;Azul;245;;0
146;MT;28637;C;14.0;0;;2.89731;693,08;0.19951;Azul;245;;0
149;MT;28646;C;7.0;0;;1.98262;701,09;0.12481;Azul;245;;0
37;CH;28648;E;;0;;2.6852;648,25;0.16279;Azul;271;;0
143;MT;28651;D;27.0;0;;1.62208;672,59;0.10767;Azul;245;;0
65;CN;28652;D;21.0;0;;2.6716;644,22;0.18525;Azul;235;;0
40;CH;28725;D;16.0;0;;2.1302;753,80;0.23304;Azul;231;;0
11;CH;28864;D;11.0;0;;1.05725;536,75;0.21849;Azul;231;;0
157;MT;28904;C;10.0;0;;2.52928;733,10;0.19899;Azul;245;;0
114;LC;28930;E;;0;;1.59865;609,26;0.21201;Azul;281;;0
64;CN;28968;B;20.0;0;;3.11834;774,38;0.24085;Azul;235;;0
155;MT;29167;A;8.0;0;;1.42194;680,81;0.2745;Azul;245;;0
159;MT;29359;E;3.0;0;;1.16472;802,99;0.1036;Azul;245;;0
133;LC;29374;E;11.0;0;;3.4355;530,68;0.13412;Azul;241;;0
14;CH;29514;D;;0;;3.53554;553,20;0.19198;Azul;271;;0
38;CH;29532;C;;0;;1.51407;638,96;0.21081;Azul;271;;0
97;LC;29543;D;;0;;2.33392;670,46;0.14992;Azul;281;;0
28;CH;29644;C;24.0;0;;3.9145;630,38;0.18592;Azul;231;;0
103;LC;29650;E;3.0;0;;1.35493;473,75;0.21322;Azul;241;;0
17;CH;29687;C;12.0;0;;4.2708;621,26;0.41167;Azul;231;;0
50;CN;30013;D;;0;;3.36246;656,28;0.2267;Azul;275;;0
91;LC;30185;D;8.0;0;;2.43175;591,91;0.10917;Azul;241;0.0;0
77;CN;30193;A;;0;;2.8933;642,50;0.25682;Azul;275;;0
39;CH;30360;D;;0;;1.37383;601,43;0.17713;Azul;271;;0
172;MT;30365;E;6.0;0;;2.02151;754,33;0.23534;Azul;245;;0
150;MT;30384;D;;0;;2.17552;757,27;0.20434;Azul;285;;0
