CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CH;67718;E;16.0;0;;2.55238;546,67;0.26522;Azul;195;;
2;CH;24323;C;5.0;0;;1.78029;586,70;0.2147;Azul;195;;
3;CH;59956;B;29.0;0;;1.17717;804,42;0.10704;Azul;195;;
4;CH;49310;D;4.0;0;;0.92824;673,01;0.1265;Azul;195;;
5;CH;46855;A;20.0;0;;2.2357;585,49;0.15776;Azul;195;;
6;CH;67994;D;8.0;0;;3.08701;642,65;0.14773;Azul;195;;
7;CH;25276;A;18.0;0;;1.18532;501,86;0.2096;Azul;195;;
8;CH;59833;D;3.0;0;;3.59227;550,24;0.26104;Azul;195;;
9;CH;63625;E;17.0;0;;2.73114;610,08;0.1605;Azul;195;;
10;CH;54201;C;18.0;0;;3.15175;577,76;0.32448;Azul;195;;
11;CH;25454;A;24.0;0;;2.31205;541,07;0.18311;Azul;195;;
12;CH;30991;A;23.0;0;;2.10172;570,39;0.15742;Azul;195;;
13;CH;25354;B;26.0;0;;0.89886;564,48;0.23257;Azul;195;;
14;CH;24800;B;12.0;0;;3.09471;552,39;0.1787;Azul;195;;
15;CH;11476;E;11.0;0;;1.61838;720,53;0.22184;Azul;195;;
16;CH;42142;C;5.0;0;;2.49341;582,32;0.18585;Azul;195;;
17;CH;44452;B;22.0;0;;0.34104;560,68;0.16604;Azul;195;;
18;CH;49583;C;11.0;0;;1.72415;543,53;0.013;Azul;195;;
19;CH;24631;C;4.0;0;;3.64335;541,59;0.21298;Azul;195;;
20;CH;55791;E;27.0;0;;1.38636;582,83;0.06684;Azul;195;;
21;CH;38143;A;13.0;0;;1.21691;494,00;0.20758;Azul;195;;
22;CH;15260;D;27.0;0;;2.60708;730,18;0.14975;Azul;195;;
23;CH;56013;B;7.0;0;;2.88684;537,43;0.27551;Azul;195;;
24;CH;63472;A;1.0;0;;1.4864;578,62;0.0483;Azul;195;;
25;CH;66217;B;1.0;0;;1.64831;690,45;0.09338;Azul;195;;
26;CH;54668;D;6.0;0;;2.85822;620,97;0.1217;Azul;195;;
27;CH;63269;E;19.0;0;;2.0277;648,29;0.15376;Azul;195;;
28;CH;24456;E;24.0;0;;1.35744;607,00;0.24935;Azul;195;;
29;CH;8831;C;15.0;0;;1.94892;727,33;0.12949;Azul;195;;
30;CH;67091;A;25.0;0;;2.79763;568,92;0.17227;Azul;195;;
31;CH;38733;A;2.0;0;;0.89558;701,59;0.25981;Azul;195;;
32;CH;68462;D;10.0;0;;1.84372;640,63;0.05687;Azul;195;;
33;CH;68887;E;10.0;0;;1.8402;623,22;0.15407;Azul;195;;
34;CH;47424;C;28.0;0;;1.16371;690,47;0.24597;Azul;195;;
35;CH;66895;E;29.0;0;;1.96287;696,01;0.12172;Azul;195;;
36;CH;68255;D;6.0;0;;1.37171;633,59;0.07794;Azul;195;;
37;CH;25323;C;9.0;0;;2.44388;616,42;0.17099;Azul;195;;
38;CH;48878;E;30.0;0;;1.59948;730,34;0.178;Azul;195;;
39;CH;67274;B;13.0;0;;2.20052;638,12;0.13293;Azul;195;;
40;CH;26036;D;29.0;0;;2.55496;669,57;0.07739;Azul;195;;
41;CH;37340;B;21.0;0;;2.65576;642,14;0.17486;Azul;195;;
42;CH;68434;A;14.0;0;;2.35318;647,09;0.20182;Azul;195;;
43;CH;55399;B;8.0;0;;4.04769;643,31;0.1523;Azul;195;;
44;CH;54534;C;9.0;0;;2.85672;665,76;0.08903;Azul;195;;
45;CH;24561;A;15.0;0;;1.28675;626,52;0.19317;Azul;195;;
46;CN;26717;A;1.0;0;;2.85384;692,59;0.14505;Azul;199;;
47;CN;18675;D;30.0;0;;2.32748;618,74;0.21921;Azul;199;;
48;CN;54893;B;10.0;0;;2.58476;704,16;0.18553;Azul;199;;
49;CN;24942;D;23.0;0;;2.03602;551,72;0.17893;Azul;199;;
50;CN;27251;D;2.0;0;;1.55006;712,68;0.31822;Azul;199;;
51;CN;49314;A;8.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;199;;
52;CN;13968;D;18.0;0;;2.05475;578,03;0.16771;Azul;199;;
53;CN;45270;A;3.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;199;;
54;CN;32724;B;4.0;0;;1.33877;675,23;0.26349;Azul;199;;
55;CN;39365;C;6.0;0;;3.01003;595,88;0.18229;Azul;199;;
56;CN;39367;D;26.0;0;;1.76036;597,71;0.09657;Azul;199;;
57;CN;37142;C;5.0;0;;2.2501;658,49;0.18067;Azul;199;;
58;CN;7222;B;24.0;0;;4.94938;696,59;0.17837;Azul;199;;
59;CN;40364;D;25.0;0;;2.59396;734,79;0.16309;Azul;199;;
60;CN;39933;C;14.0;0;;3.50522;566,20;0.15933;Azul;199;;
61;CN;59611;B;28.0;0;;1.19827;797,26;0.28509;Azul;199;;
62;CN;18105;E;21.0;0;;2.18334;785,49;0.11594;Azul;199;;
63;CN;24554;E;9.0;0;;1.67259;662,36;0.19088;Azul;199;;
64;CN;25634;C;17.0;0;;2.93715;710,24;0.21248;Azul;199;;
65;CN;18244;A;24.0;0;;5.05216;736,70;0.15184;Azul;199;;
66;CN;26808;B;23.0;0;;1.54605;725,00;0.12623;Azul;199;;
67;CN;16800;A;3.0;0;;3.24091;675,35;0.17556;Azul;199;;
68;CN;30872;E;19.0;0;;2.63315;625,82;0.07409;Azul;199;;
69;CN;61174;E;11.0;0;;3.32615;555,30;0.28814;Azul;199;;
70;CN;66279;D;27.0;0;;3.29792;722,10;0.12511;Azul;199;;
71;CN;48313;E;12.0;0;;0.82663;606,47;0.00558;Azul;199;;
72;CN;16671;A;21.0;0;;1.16337;638,24;0.12073;Azul;199;;
73;CN;23205;D;16.0;0;;2.74071;653,30;0.14775;Azul;199;;
74;CN;8319;D;13.0;0;;1.32244;648,15;0.11328;Azul;199;;
75;CN;41012;B;15.0;0;;2.58594;584,76;0.25747;Azul;199;;
76;CN;33083;C;22.0;0;;1.03867;531,20;0.11225;Azul;199;;
77;CN;44477;B;24.0;0;;1.87352;697,03;0.19883;Azul;199;;
78;CN;59726;D;25.0;0;;0.9927;587,41;0.04118;Azul;199;;
79;CN;41247;B;18.0;0;;2.47553;619,45;0.12259;Azul;199;;
80;CN;48301;E;19.0;0;;1.36108;557,51;0.07569;Azul;199;;
81;CN;43414;B;29.0;0;;1.9749;590,16;0.18224;Azul;199;;
82;CN;37971;A;20.0;0;;2.17605;726,69;0.10775;Azul;199;;
83;CN;43785;B;17.0;0;;4.02643;607,07;0.15747;Azul;199;;
84;CN;48937;E;1.0;0;;1.01975;685,88;0.11171;Azul;199;;
85;CN;37051;D;11.0;0;;1.17129;494,87;0.21062;Azul;199;;
86;CN;10677;E;24.0;0;;1.83463;590,17;0.25055;Azul;199;;
87;CN;24555;A;1.0;0;;1.47164;580,34;0.20215;Azul;199;;
88;CN;48929;C;25.0;0;;2.44256;677,91;0.1836;Azul;199;;
89;CN;29232;D;2.0;0;;3.73585;639,58;0.10898;Azul;199;;
90;CN;44603;C;7.0;0;;1.44239;610,56;0.19345;Azul;199;;
91;LC;60885;A;5.0;0;;3.22809;610,41;0.12403;Azul;205;0.0;
91;LC;11723;D;7.0;0;;1.6705;552,91;0.16379;Azul;205;1.0;
92;LC;53032;A;6.0;0;;3.08957;636,64;0.12934;Azul;205;1.0;
92;LC;59916;C;7.0;0;;3.32775;600,64;0.16626;Azul;205;0.0;
93;LC;7352;A;6.0;0;;3.806;610,60;0.106;Azul;205;0.0;
93;LC;11509;A;7.0;0;;1.161;654,90;0.177;Azul;205;1.0;
94;LC;27522;C;6.0;0;;3.1575;549,27;0.18559;Azul;205;0.0;
94;LC;11907;E;5.0;0;;3.177;600,70;0.091;Azul;205;1.0;
