CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;17910;D;6;0;;2.64336;533,11;0.17368;Azul;551;1.0;0
1;LC;55166;B;7;0;;2.66039;561,13;0.19627;Azul;511;0.0;0
1;LC;86116;E;5;0;;2.45918;554,70;0.21337;Azul;551;0.0;0
1;LC;96705;A;8;0;;3.62651;579,27;0.1043;Azul;511;1.0;0
2;LC;25684;A;7;0;;2.98071;631,61;0.19041;Azul;551;1.0;0
2;LC;40270;D;7;0;;3.22121;598,52;0.20723;Azul;551;0.0;0
2;LC;54110;D;7;0;;2.82077;563,69;0.16707;Azul;511;0.0;0
2;LC;118222;B;5;0;;4.32465;549,17;0.2523;Azul;511;1.0;0
3;LC;23564;A;6;0;;4.08473;541,26;0.20536;Azul;511;0.0;0
3;LC;39016;C;7;0;;3.76151;592,83;0.14061;Azul;511;1.0;0
3;LC;55170;A;5;0;;1.78899;513,26;0.14052;Azul;551;1.0;0
3;LC;77968;A;6;0;;2.96408;585,34;0.17738;Azul;551;0.0;0
4;LC;31954;B;8;0;;2.02433;534,87;0.20967;Azul;511;0.0;0
4;LC;32839;B;8;0;;2.92684;584,38;0.17977;Azul;551;1.0;0
4;LC;98030;B;8;0;;3.12924;593,93;0.20486;Azul;551;0.0;0
4;LC;118167;A;8;0;;2.4633;548,10;0.09893;Azul;511;1.0;0
5;LC;18848;B;6;0;;3.48455;576,59;0.20727;Azul;551;0.0;0
5;LC;48558;D;6;0;;2.74411;568,16;0.13769;Azul;511;1.0;0
5;LC;87810;B;6;0;;2.22466;547,56;0.19743;Azul;551;1.0;0
5;LC;118180;E;5;0;;5.61439;549,58;0.1457;Azul;511;0.0;0
6;LC;83841;D;30;0;;1.7332;541,01;0.17919;Azul;551;;0
6;LC;86563;B;3;0;;0.92314;622,47;0.09006;Azul;511;;0
7;LC;89089;B;17;0;;2.12752;689,14;0.24171;Azul;551;;0
7;LC;118161;C;24;0;;1.77698;504,70;0.05812;Azul;511;;0
8;LC;82045;A;1;0;;1.76863;632,65;0.1622;Azul;551;;0
8;LC;118147;B;23;0;;1.41373;482,93;0.01187;Azul;511;;0
9;LC;86434;A;20;0;;1.90198;592,72;0.19817;Azul;551;;0
9;LC;118118;A;9;0;;3.00154;566,25;0.15753;Azul;511;;0
10;LC;37925;C;27;0;;6.73355;634,25;0.15479;Azul;551;;0
