CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;71933;A;6.0;0;;2.23777;604,26;0.29804;Azul;85;
2;CH;71990;B;19.0;0;;1.35599;623,36;0.23895;Azul;85;
3;CH;73431;A;17.0;0;;1.58426;626,01;0.19016;Azul;85;
4;CH;58249;B;26.0;0;;1.87124;459,51;0.17401;Azul;85;
5;CH;73854;D;27.0;0;;0.4083;646,21;0.02447;Azul;85;
6;CH;73858;A;26.0;0;;1.1977;628,06;0.14723;Azul;85;
7;CH;71987;C;16.0;0;;2.485;645,90;0.18958;Azul;85;
8;CH;73852;B;30.0;0;;1.30894;693,51;0.25936;Azul;85;
9;CH;72681;A;9.0;0;;2.75163;548,52;0.21916;Azul;85;
10;CH;70789;E;17.0;0;;2.03677;532,47;0.22152;Azul;85;
11;CH;71165;B;18.0;0;;1.95978;471,95;0.15433;Azul;85;
12;CH;73636;C;28.0;0;;1.4497;775,23;0.08528;Azul;85;
13;CH;58951;C;8.0;0;;1.19627;701,45;0.23469;Azul;85;
14;CH;73807;C;29.0;0;;2.69961;695,43;0.12663;Azul;85;
15;CH;72403;B;29.0;0;;1.51697;725,61;0.20476;Azul;85;
16;CH;58263;E;11.0;0;;1.69144;619,26;0.10864;Azul;85;
17;CH;71319;A;18.0;0;;2.27333;610,43;0.22374;Azul;85;
18;CH;72046;B;11.0;0;;2.00942;812,94;0.10072;Azul;85;
19;CH;57779;C;5.0;0;;1.16823;682,29;0.2094;Azul;85;
20;CH;70759;C;2.0;0;;2.88413;516,02;0.22054;Azul;85;
21;CH;71954;A;5.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;85;
22;CH;73447;D;14.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;85;
23;CH;72699;B;25.0;0;;0.90062;610,92;0.18432;Azul;85;
24;CH;72636;B;1.0;0;;2.14874;631,67;0.20651;Azul;85;
25;CH;58553;C;7.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;85;
26;CH;71256;C;4.0;0;;2.85188;723,15;0.14467;Azul;85;
27;CH;71797;D;1.0;0;;1.97319;622,78;0.15755;Azul;85;
28;CH;70981;E;10.0;0;;0.83586;602,47;0.06118;Azul;85;
29;CH;71003;C;14.0;0;;0.99691;601,42;0.03653;Azul;85;
30;CH;72620;E;12.0;0;;2.06397;596,54;0.25849;Azul;85;
31;CH;58085;E;13.0;0;;1.73031;782,84;0.11003;Azul;85;
32;CH;72239;D;22.0;0;;1.68348;608,27;0.21502;Azul;85;
33;CH;70778;B;15.0;0;;2.60367;643,02;0.14565;Azul;85;
34;CH;73334;E;24.0;0;;0.97806;769,64;0.15667;Azul;85;
35;CH;70736;D;22.0;0;;1.56506;543,45;0.14019;Azul;85;
36;CH;73132;B;16.0;0;;0.83885;531,37;0.17272;Azul;85;
37;CH;58919;A;21.0;0;;0.98999;373,22;0.23087;Azul;85;
38;CH;73479;E;28.0;0;;1.84306;737,82;0.15423;Azul;85;
39;CH;72915;A;23.0;0;;0.66322;529,16;0.00915;Azul;85;
40;CH;70957;E;22.0;0;;1.09704;559,48;0.03643;Azul;85;
41;CH;72105;D;3.0;0;;2.71121;595,52;0.12189;Azul;85;
42;CH;73455;E;12.0;0;;1.98593;576,95;0.21166;Azul;85;
43;CH;70983;C;20.0;0;;2.22541;550,83;0.18564;Azul;85;
44;CH;71968;D;23.0;0;;2.17448;600,29;0.18746;Azul;85;
45;CH;70695;D;24.0;0;;1.79698;672,53;0.26503;Azul;85;
1;CH;70996;B;;0;;2.05843;399,04;0.134;Azul;101;
2;CH;71134;A;;0;;1.69469;572,10;0.40016;Azul;101;
3;CH;70505;A;;0;;1.594;427,28;0.17136;Azul;101;
4;CH;71148;B;;0;;1.89384;562,11;0.16081;Azul;101;
5;CH;70188;D;;0;;1.2081;475,50;0.1433;Azul;101;
6;CH;73091;E;;0;;1.28812;502,65;0.08588;Azul;101;
7;CH;58040;A;;0;;1.78851;494,82;0.14161;Azul;101;
8;CH;71321;B;;0;;0.9479;518,54;0.11688;Azul;101;
9;CH;73523;D;;0;;1.89805;489,47;0.15658;Azul;101;
10;CH;71166;A;;0;;1.0144;727,77;0.27842;Azul;101;
11;CH;73460;C;;0;;1.44413;508,86;0.43703;Azul;101;
12;CH;73492;C;;0;;1.56736;518,40;0.14218;Azul;101;
