CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;75504;E;21;0;;3.21898;449,94;0.36109;Azul;117;
2;CH;73764;D;23;0;;0.34715;536,05;0.02354;Azul;117;
3;CH;71745;E;13;0;;1.981;529,80;0.14845;Azul;117;
4;CH;75632;B;30;0;;2.54487;597,65;0.12278;Azul;117;
5;CH;73690;C;18;0;;2.93542;637,30;0.13042;Azul;117;
6;CH;73785;E;6;0;;2.53827;611,92;0.18589;Azul;117;
7;CH;75451;A;17;0;;1.14241;684,78;0.17173;Azul;117;
8;CH;71139;E;26;0;;1.79484;539,60;0.44445;Azul;117;
9;CH;73555;D;27;0;;1.17341;549,45;0.17226;Azul;117;
10;CH;75438;B;28;0;;1.27649;289,43;0.0353;Azul;117;
11;CH;73786;D;29;0;;2.01408;591,26;0.43892;Azul;117;
12;CH;75717;A;26;0;;1.97592;503,67;0.24629;Azul;117;
13;CH;73538;A;28;0;;1.87044;464,02;0.23781;Azul;117;
14;CH;75706;C;7;0;;1.25147;477,04;0.22347;Azul;117;
15;CH;70539;A;30;0;;3.01946;500,15;0.20988;Azul;117;
16;CH;73630;C;17;0;;2.27466;582,35;0.16893;Azul;117;
17;CH;70810;E;24;0;;3.67867;521,72;0.3165;Azul;117;
18;CH;73285;C;13;0;;1.25284;435,86;0.0286;Azul;117;
19;CH;71193;D;24;0;;1.35946;566,11;0.11357;Azul;117;
20;CH;73201;B;12;0;;1.98606;496,66;0.18076;Azul;117;
21;CH;71502;B;4;0;;2.26069;548,85;0.20681;Azul;117;
22;CH;75588;C;4;0;;2.6007;528,61;0.28532;Azul;117;
23;CH;73755;A;20;0;;2.74211;554,68;0.1144;Azul;117;
24;CH;72884;C;17;0;;1.41932;711,23;0.17222;Azul;117;
25;CH;71336;E;22;0;;1.93837;675,90;0.26629;Azul;117;
26;CH;75448;D;2;0;;1.67198;627,60;0.09005;Azul;117;
27;CH;75483;C;16;0;;2.24116;533,41;0.11526;Azul;117;
28;CH;72393;D;27;0;;1.41227;420,60;0.11962;Azul;117;
29;CH;71065;C;1;0;;0.91576;560,62;0.06534;Azul;117;
30;CH;71136;B;14;0;;2.4248;604,53;0.11798;Azul;117;
31;CH;75500;A;1;0;;2.86402;523,48;0.07919;Azul;117;
32;CH;73626;E;25;0;;3.20972;496,54;0.16333;Azul;117;
33;CH;72257;A;18;0;;1.62427;439,99;0.3426;Azul;117;
34;CH;72102;D;10;0;;1.84569;617,16;0.13745;Azul;117;
35;CH;71304;A;19;0;;2.88594;559,91;0.36915;Azul;117;
36;CH;70963;D;3;0;;2.72822;506,65;0.23511;Azul;117;
37;CH;73674;B;20;0;;1.98481;551,65;0.16624;Azul;117;
38;CH;70836;B;5;0;;1.13678;437,80;0.14589;Azul;117;
39;CH;71877;D;7;0;;2.86476;581,11;0.18059;Azul;117;
40;CH;70979;D;11;0;;3.05032;578,06;0.23071;Azul;117;
41;CH;75656;E;9;0;;3.32363;580,88;0.09203;Azul;117;
42;CH;75440;A;15;0;;2.94979;529,02;0.18183;Azul;117;
43;CH;75532;A;16;0;;1.62577;551,33;0.1704;Azul;117;
44;CH;73501;B;6;0;;1.20097;508,43;0.29128;Azul;117;
45;CH;71584;A;8;0;;1.86075;539,95;0.3565;Azul;117;
46;CN;73517;D;18;0;;0.95998;747,49;0.13616;Azul;121;
47;CN;73367;C;8;0;;2.6033;507,70;0.22333;Azul;121;
48;CN;70762;E;14;0;;3.58475;563,06;0.1944;Azul;121;
49;CN;71251;A;17;0;;3.5329;543,56;0.25073;Azul;121;
50;CN;71976;C;23;0;;2.94675;684,63;0.05897;Azul;121;
51;CN;70828;D;12;0;;0.68497;557,86;0.04935;Azul;121;
52;CN;72204;B;2;0;;1.58646;613,39;0.14651;Azul;121;
53;CN;75610;E;11;0;;2.08059;655,77;0.06116;Azul;121;
54;CN;70278;C;17;0;;1.61308;629,87;0.2812;Azul;121;
55;CN;75618;B;25;0;;2.06293;723,51;0.29941;Azul;121;
56;CN;70052;C;21;0;;1.50263;597,07;0.13153;Azul;121;
57;CN;75742;A;4;0;;1.41684;497,05;0.09107;Azul;121;
58;CN;70070;E;24;0;;1.94387;606,14;0.36596;Azul;121;
59;CN;73227;B;27;0;;1.06261;675,07;0.13927;Azul;121;
60;CN;70253;A;6;0;;2.52119;633,88;0.11338;Azul;121;
61;CN;70820;C;15;0;;2.28412;640,22;0.12359;Azul;121;
62;CN;71953;B;9;0;;2.79887;691,56;0.11365;Azul;121;
63;CN;75744;E;22;0;;2.11177;595,10;0.18297;Azul;121;
64;CN;72808;A;28;0;;2.04317;574,06;0.12969;Azul;121;
65;CN;70106;E;13;0;;0.53142;819,79;0.0887;Azul;121;
66;CN;70433;C;21;0;;2.89783;565,23;0.1128;Azul;121;
67;CN;59277;E;22;0;;1.14962;757,13;0.11924;Azul;121;
68;CN;73439;D;2;0;;1.89938;551,76;0.17296;Azul;121;
69;CN;70904;E;30;0;;2.21866;503,00;0.23994;Azul;121;
70;CN;71172;D;5;0;;0.64224;639,84;0.1161;Azul;121;
71;CN;73305;A;19;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;Azul;121;
72;CN;72770;A;24;0;;1.53065;643,78;0.18479;Azul;121;
73;CN;70133;B;7;0;;1.68399;673,88;0.18724;Azul;121;
74;CN;73678;D;1;0;;3.06608;637,14;0.17705;Azul;121;
75;CN;72998;B;18;0;;1.33898;581,04;0.11803;Azul;121;
76;CN;70057;E;3;0;;0.77959;681,93;0.12995;Azul;121;
77;CN;73731;D;20;0;;0.5207;1086,20;0.13508;Azul;121;
78;CN;73438;B;7;0;;1.97356;537,43;0.16375;Azul;121;
79;CN;70933;B;8;0;;0.93948;772,36;0.16041;Azul;121;
80;CN;70728;D;12;0;;1.94916;662,68;0.11518;Azul;121;
81;CN;70614;D;24;0;;1.21656;389,78;0.01582;Azul;121;
82;CN;70637;D;14;0;;2.35631;734,93;0.18748;Azul;121;
83;CN;75679;C;26;0;;1.46647;619,76;0.13775;Azul;121;
84;CN;71182;A;1;0;;2.29778;463,90;0.15245;Azul;121;
85;CN;71603;B;10;0;;2.1092;537,06;0.23873;Azul;121;
86;CN;73055;C;20;0;;1.54;569,39;0.10243;Azul;121;
87;CN;70617;B;16;0;;1.38451;582,65;0.21537;Azul;121;
88;CN;70807;D;29;0;;1.65685;319,91;0.09167;Azul;121;
89;CN;70302;C;30;0;;2.32558;513,74;0.22295;Azul;121;
90;CN;71700;A;10;0;;1.25555;492,33;0.17605;Azul;121;
