CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
91;LC;71697;E;5;0;;2.4867;570,12;0.11027;Azul;127;0.0
92;LC;73830;E;6;0;;3.96117;561,75;0.1347;Azul;127;0.0
93;LC;75898;D;5;0;;4.37406;539,16;0.31211;Azul;127;0.0
94;LC;75956;B;8;0;;1.7956;570,37;0.21008;Azul;127;0.0
95;LC;73873;D;7;0;;4.85576;554,69;0.15842;Azul;127;0.0
91;LC;75845;D;5;0;;2.84258;573,44;0.21881;Azul;127;1.0
92;LC;73694;B;7;0;;1.44762;539,29;0.15652;Azul;127;1.0
93;LC;73759;D;6;0;;3.30464;534,68;0.22541;Azul;127;1.0
94;LC;75960;C;8;0;;3.22655;526,59;0.24916;Azul;127;1.0
95;LC;71451;A;7;0;;2.08444;512,12;0.0931;Azul;127;1.0
96;LC;73296;E;10;0;;1.5098;551,81;0.11306;Azul;127;
97;LC;76000;D;30;0;;1.99641;550,61;0.26926;Azul;127;
98;LC;75944;E;3;0;;3.14181;532,13;0.19412;Azul;127;
99;LC;58193;C;16;0;;1.36373;615,48;0.12693;Azul;127;
100;LC;73671;D;2;0;;2.83869;596,49;0.19268;Azul;127;
101;LC;70370;A;17;0;;1.89235;471,90;0.14613;Azul;127;
102;LC;59583;D;17;0;;1.82576;574,52;0.1882;Azul;127;
103;LC;70588;D;4;0;;3.3385;488,43;0.20802;Azul;127;
104;LC;70179;C;20;0;;2.10025;517,27;0.21756;Azul;127;
105;LC;73242;A;9;0;;1.61595;534,81;0.20191;Azul;127;
106;LC;59158;A;18;0;;2.10932;531,15;0.13545;Azul;127;
107;LC;73783;B;12;0;;0.75784;513,25;0.02344;Azul;127;
108;LC;73823;B;11;0;;1.14439;642,41;0.16054;Azul;127;
109;LC;59146;E;23;0;;1.60467;453,56;0.13861;Azul;127;
110;LC;73760;D;13;0;;2.17069;615,12;0.20808;Azul;127;
111;LC;70012;A;1;0;;1.26532;527,70;0.17019;Azul;127;
112;LC;73803;C;14;0;;2.25284;549,59;0.28524;Azul;127;
113;LC;59041;B;16;0;;1.01513;609,35;0.05916;Azul;127;
114;LC;73531;A;12;0;;2.11638;657,02;0.10211;Azul;127;
115;LC;59053;D;23;0;;1.37445;496,91;0.07084;Azul;127;
116;LC;73821;E;16;0;;1.0643;610,67;0.016;Azul;127;
117;LC;73607;C;15;0;;2.3431;555,09;0.14706;Azul;127;
118;LC;75832;C;17;0;;2.68782;675,73;0.16326;Azul;127;
119;LC;75838;E;20;0;;1.47183;549,42;0.0227;Azul;127;
120;LC;71746;A;19;0;;2.86009;522,11;0.25342;Azul;127;
121;LC;70943;B;19;0;;3.69471;575,47;0.17644;Azul;127;
122;LC;71848;D;24;0;;2.70035;703,67;0.16129;Azul;127;
123;LC;71853;A;23;0;;2.5709;552,28;0.20592;Azul;127;
124;LC;73670;E;24;0;;1.6751;603,79;0.26168;Azul;127;
125;LC;73386;B;22;0;;2.12472;514,51;0.22866;Azul;127;
126;LC;72581;C;22;0;;2.16628;592,23;0.12475;Azul;127;
127;LC;73766;D;21;0;;2.42887;513,31;0.19659;Azul;127;
128;LC;75875;C;26;0;;2.60554;585,15;0.26324;Azul;127;
129;LC;71925;B;27;0;;2.49678;690,00;0.1751;Azul;127;
130;LC;71563;A;25;0;;3.2395;514,98;0.22707;Azul;127;
131;LC;76024;B;26;0;;2.63512;579,93;0.19579;Azul;127;
132;LC;73614;C;28;0;;3.13334;553,07;0.18105;Azul;127;
133;LC;72011;E;10;0;;1.77005;498,74;0.13218;Azul;127;
134;LC;71418;A;30;0;;1.0275;543,96;0.00725;Azul;127;
135;LC;71724;E;29;0;;2.45232;565,91;0.28468;Azul;127;
136;MT;71649;E;5;0;;2.41492;528,86;0.31102;Azul;131;
137;MT;72676;E;21;0;;2.96492;702,81;0.0738;Azul;131;
138;MT;72052;B;10;0;;2.23008;555,45;0.27798;Azul;131;
139;MT;70183;A;1;0;;2.11832;573,51;0.18808;Azul;131;
140;MT;71642;C;13;0;;1.80059;640,11;0.1643;Azul;131;
141;MT;70407;B;12;0;;1.78608;580,14;0.18101;Azul;131;
142;MT;71238;B;27;0;;1.62432;682,82;0.21852;Azul;131;
143;MT;72783;C;11;0;;1.99058;658,63;0.17168;Azul;131;
144;MT;70698;E;7;0;;1.40069;732,58;0.10823;Azul;131;
145;MT;72045;E;17;0;;2.69266;652,18;0.11563;Azul;131;
146;MT;70501;E;11;0;;2.68015;708,63;0.07696;Azul;131;
147;MT;73124;E;7;0;;1.2623;561,95;0.13382;Azul;131;
148;MT;72124;C;10;0;;2.21598;631,37;0.1587;Azul;131;
149;MT;75795;A;23;0;;1.91763;720,24;0.17835;Azul;131;
150;MT;72786;B;22;0;;1.55058;708,85;0.12411;Azul;131;
151;MT;72821;D;8;0;;1.56479;683,74;0.12533;Azul;131;
152;MT;70423;E;15;0;;1.42032;578,26;0.16611;Azul;131;
153;MT;75890;E;18;0;;2.1861;561,24;0.13381;Azul;131;
154;MT;72056;C;27;0;;2.29585;590,01;0.15579;Azul;131;
155;MT;70201;B;8;0;;1.63;790,49;0.21354;Azul;131;
156;MT;70540;C;19;0;;2.96462;813,70;0.14003;Azul;131;
157;MT;70432;D;4;0;;2.20311;714,16;0.179;Azul;131;
158;MT;71832;B;25;0;;1.94736;751,66;0.17967;Azul;131;
159;MT;70034;A;23;0;;2.87279;668,09;0.16149;Azul;131;
160;MT;72028;C;3;0;;2.27622;737,64;0.23999;Azul;131;
161;MT;70238;B;3;0;;2.74865;647,86;0.21513;Azul;131;
162;MT;70461;D;2;0;;1.23541;548,56;0.05802;Azul;131;
163;MT;71187;E;30;0;;1.63381;736,77;0.09676;Azul;131;
164;MT;70198;D;16;0;;1.92502;629,98;0.1805;Azul;131;
165;MT;70405;A;9;0;;1.6024;621,53;0.14692;Azul;131;
166;MT;70053;D;16;0;;1.81642;609,08;0.24672;Azul;131;
167;MT;71130;C;12;0;;2.08886;757,50;0.18102;Azul;131;
168;MT;71127;C;29;0;;2.06737;689,01;0.24604;Azul;131;
169;MT;72788;B;26;0;;1.64337;686,90;0.20692;Azul;131;
170;MT;70445;C;28;0;;2.83067;645,10;0.18616;Azul;131;
171;MT;72687;D;28;0;;2.45814;711,93;0.18911;Azul;131;
172;MT;70563;C;6;0;;1.60162;526,67;0.2498;Azul;131;
173;MT;70734;C;20;0;;1.41344;504,78;0.13377;Azul;131;
174;MT;70406;E;2;0;;2.2181;768,57;0.13379;Azul;131;
175;MT;72644;C;25;0;;1.65137;545,34;0.2265;Azul;131;
176;MT;72909;A;24;0;;2.87235;696,77;0.15109;Azul;131;
177;MT;71636;C;17;0;;3.03092;735,60;0.17;Azul;131;
178;MT;70745;C;19;0;;2.74436;669,80;0.2011;Azul;131;
179;MT;71864;D;15;0;;2.00926;620,71;0.19016;Azul;131;
180;MT;73038;D;21;0;;2.53869;666,53;0.23544;Azul;131;
