CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
112;LC;6827;C;18.0;0;;1.446;738.4;0.182;AZUL;177;;0
34;CH;7014;C;9.0;0;;0.8512;714.32;0.1505;AZUL;167;;0
133;LC;7036;B;21.0;0;;2.1508;535.99;0.1249;AZUL;177;;0
110;LC;7242;E;4.0;0;;2.4322;542.37;0.1634;AZUL;177;;0
89;CN;7444;B;21.0;0;;3.2309;684.99;0.2774;AZUL;171;;0
131;LC;7457;A;24.0;0;;2.375;478.0;0.208;AZUL;177;;0
57;CN;7508;A;18.0;0;;2.7226;704.89;0.0946;AZUL;171;;0
119;LC;7832;A;24.0;0;;1.744;614.91;0.0982;AZUL;177;;0
55;CN;7867;A;14.0;0;;1.2492;807.54;0.2741;AZUL;171;;0
117;LC;8031;D;13.0;0;;1.4835;655.67;0.1424;AZUL;177;;0
132;LC;8144;C;22.0;0;;1.8204;575.06;0.0741;AZUL;177;;0
75;CN;8190;E;5.0;0;;3.9939;699.37;0.0522;AZUL;171;;0
169;MT;8412;A;30.0;0;;1.79469;714.27;0.11122;AZUL;181;;0
20;CH;8604;C;24.0;0;;1.787;708.0;0.145;AZUL;167;;0
74;CN;8822;C;8.0;0;;1.751;708.99;0.0932;AZUL;171;;0
51;CN;8929;B;23.0;0;;2.0921;551.14;0.1765;AZUL;171;;0
150;MT;8962;A;28.0;0;;3.166;769.3;0.194;AZUL;181;;0
36;CH;9164;A;1.0;0;;1.116;678.1;0.173;AZUL;167;;0
37;CH;9569;C;19.0;0;;1.147;502.4;0.163;AZUL;167;;0
95;LC;9614;C;7.0;0;;1.9322;584.77;0.1604;AZUL;177;0.0;0
91;LC;9687;A;5.0;0;;1.8283;567.37;0.0694;AZUL;177;0.0;0
153;MT;9711;D;19.0;0;;3.329;660.0;0.087;AZUL;181;;0
139;MT;9746;C;12.0;0;;1.78;587.6;0.092;AZUL;181;;0
91;LC;9873;C;7.0;0;;2.704;515.1;0.095;AZUL;177;1.0;0
15;CH;10259;B;15.0;0;;0.5188;774.09;0.1448;AZUL;167;;0
148;MT;10472;D;16.0;0;;2.87;630.0;0.043;AZUL;181;;0
93;LC;10570;C;7.0;0;;2.1044;501.03;0.1974;AZUL;177;0.0;0
102;LC;10627;C;29.0;0;;2.289;566.03;0.1871;AZUL;177;;0
54;CN;10662;D;27.0;0;;3.222;656.75;0.1571;AZUL;171;;0
121;LC;10773;E;18.0;0;;1.4408;672.44;0.1595;AZUL;177;;0
76;CN;10777;C;20.0;0;;4.691;695.45;0.1745;AZUL;171;;0
101;LC;10840;E;22.0;0;;0.85;659.0;0.118;AZUL;177;;0
60;CN;11700;B;16.0;0;;0.4754;580.17;0.0408;AZUL;171;;0
129;LC;11726;A;20.0;0;;0.8411;565.39;0.014;AZUL;177;;0
171;MT;11787;B;19.0;0;;3.376;732.5;0.207;AZUL;181;;0
68;CN;11792;B;25.0;0;;2.1747;690.07;0.1831;AZUL;171;;0
83;CN;11817;D;5.0;0;;1.9769;838.57;0.1293;AZUL;171;;0
84;CN;11826;B;12.0;0;;2.6815;538.34;0.1542;AZUL;171;;0
46;CN;12226;B;20.0;0;;2.3751;765.2;0.1149;AZUL;171;;0
80;CN;12227;B;14.0;0;;2.9686;553.07;0.2042;AZUL;171;;0
136;MT;12249;E;9.0;0;;3.212;719.5;0.084;AZUL;181;;0
62;CN;13142;B;29.0;0;;2.289;695.94;0.3301;AZUL;171;;0
179;MT;13512;C;8.0;0;;3.59372;787.01;0.16982;AZUL;181;;0
162;MT;13533;C;27.0;0;;0.56195;927.92;0.14427;AZUL;181;;0
123;LC;13856;E;4.0;0;;1.1404;612.35;0.1122;AZUL;177;;0
67;CN;13976;C;9.0;0;;0.8688;650.69;0.2802;AZUL;171;;0
106;LC;14005;E;28.0;0;;2.8716;518.22;0.2653;AZUL;177;;0
104;LC;14634;D;19.0;0;;3.3011;583.77;0.1383;AZUL;177;;0
72;CN;15947;E;5.0;0;;3.7361;703.08;0.1318;AZUL;171;;0
141;MT;16538;C;8.0;0;;1.79245;667.78;0.092;AZUL;181;;0
90;CN;18341;A;17.0;0;;2.2323;537.37;0.1683;AZUL;171;;0
53;CN;19232;B;28.0;0;;3.0399;553.73;0.191;AZUL;171;;0
11;CH;20655;C;11.0;0;;3.4566;634.34;0.1485;AZUL;167;;0
92;LC;21159;C;8.0;0;;2.034;567.69;0.226;AZUL;177;1.0;0
108;LC;22595;A;10.0;0;;1.9866;471.16;0.1726;AZUL;177;;0
5;CH;23068;A;11.0;0;;2.089;576.45;0.1256;AZUL;167;;0
124;LC;23675;C;16.0;0;;2.4776;562.01;0.1601;AZUL;177;;0
47;CN;23920;B;24.0;0;;2.571;613.22;0.2228;AZUL;171;;0
14;CH;24327;A;26.0;0;;1.6457;553.17;0.0871;AZUL;167;;0
73;CN;24375;A;29.0;0;;1.3703;679.51;0.1338;AZUL;171;;0
167;MT;24393;C;13.0;0;;1.10104;752.25;0.20375;AZUL;181;;0
127;LC;24753;C;13.0;0;;1.3276;549.71;0.1581;AZUL;177;;0
105;LC;25066;B;27.0;0;;2.1377;614.99;0.1288;AZUL;177;;0
1;CH;25217;E;6.0;0;;1.9576;607.43;0.151;AZUL;167;;0
39;CH;25649;C;18.0;0;;4.4127;588.58;0.1532;AZUL;167;;0
63;CN;26708;C;12.0;0;;2.7762;561.52;0.1333;AZUL;171;;0
113;LC;27105;B;3.0;0;;1.4604;685.32;0.1247;AZUL;177;;0
161;MT;27375;D;25.0;0;;1.57109;553.91;0.09265;AZUL;181;;0
32;CH;28177;C;8.0;0;;1.9564;716.64;0.1224;AZUL;167;;0
109;LC;28727;C;12.0;0;;1.6636;484.76;0.1432;AZUL;177;;0
64;CN;29002;B;19.0;0;;3.2711;819.4;0.2177;AZUL;171;;0
71;CN;30055;D;25.0;0;;2.6792;668.32;0.2107;AZUL;171;;0
82;CN;30198;A;1.0;0;;1.0165;670.5;0.2354;AZUL;171;;0
103;LC;30619;E;21.0;0;;2.0407;473.71;0.2151;AZUL;177;;0
163;MT;30745;E;17.0;0;;2.69491;661.51;0.06167;AZUL;181;;0
134;LC;31058;B;28.0;0;;1.6234;506.89;0.0898;AZUL;177;;0
48;CN;31261;E;22.0;0;;0.9419;707.71;0.0745;AZUL;171;;0
138;MT;31416;A;2.0;0;;2.4459;705.86;0.18393;AZUL;181;;0
154;MT;31535;B;15.0;0;;2.7321;644.39;0.12945;AZUL;181;;0
149;MT;32040;D;24.0;0;;1.01237;569.76;0.05473;AZUL;181;;0
97;LC;32518;D;11.0;0;;1.6278;617.91;0.0842;AZUL;177;;0
174;MT;33363;D;11.0;0;;0.66541;632.51;0.00301;AZUL;181;;0
87;CN;33532;B;17.0;0;;6.2461;716.57;0.1475;AZUL;171;;0
94;LC;33561;E;5.0;0;;0.5867;920.86;0.0651;AZUL;177;1.0;0
69;CN;36735;E;27.0;0;;1.9217;617.4;0.1178;AZUL;171;;0
125;LC;36768;C;22.0;0;;2.3418;502.38;0.1345;AZUL;177;;0
81;CN;36915;A;4.0;0;;0.9168;615.38;0.0125;AZUL;171;;0
2;CH;37116;A;27.0;0;;1.4971;602.79;0.2497;AZUL;167;;0
159;MT;37252;B;16.0;0;;3.10132;615.1;0.18972;AZUL;181;;0
50;CN;37482;A;15.0;0;;1.8874;552.44;0.1443;AZUL;171;;0
172;MT;38092;D;23.0;0;;2.24756;694.0;0.14157;AZUL;181;;0
155;MT;38109;C;18.0;0;;2.81179;672.1;0.14987;AZUL;181;;0
126;LC;38209;E;30.0;0;;2.1541;574.25;0.1861;AZUL;177;;0
142;MT;38212;D;26.0;0;;1.02037;770.48;0.0547;AZUL;181;;0
12;CH;38246;D;3.0;0;;1.314;684.06;0.239;AZUL;167;;0
44;CH;38282;C;13.0;0;;1.9355;602.16;0.3168;AZUL;167;;0
61;CN;38629;C;2.0;0;;3.3598;671.26;0.2639;AZUL;171;;0
85;CN;38783;A;21.0;0;;1.5832;788.0;0.1421;AZUL;171;;0
77;CN;39366;D;26.0;0;;0.7173;818.81;0.1312;AZUL;171;;0
