CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
102;CN;62293;B;5.0;0;;3.00296;617,43;0.16918;AZUL;909;;
122;CN;82265;C;8.0;0;;2.63278;567,27;0.32905;AZUL;909;;
125;CN;81640;B;21.0;0;;1.7041;693,67;0.18178;AZUL;909;;
95;CN;117843;A;27.0;0;;4.13911;576,31;0.13487;AZUL;909;;
96;CN;63600;B;15.0;0;;2.78598;612,83;0.24608;AZUL;909;;
100;CN;117898;B;3.0;0;;2.68999;565,14;0.15907;AZUL;909;;
97;CN;12401;E;19.0;0;;1.83234;597,62;0.19551;AZUL;909;;
120;CN;111544;A;22.0;0;;2.35776;639,00;0.14902;AZUL;909;;
126;CN;14944;D;5.0;0;;1.20474;712,16;0.23447;AZUL;909;;
135;CN;46813;D;18.0;0;;2.76737;653,28;0.1128;AZUL;909;;
123;CN;85525;D;29.0;0;;0.49099;672,45;0.02266;AZUL;909;;
128;CN;111546;D;23.0;0;;3.28052;665,57;0.21068;AZUL;909;;
101;CN;48911;C;25.0;0;;1.98857;661,39;0.29096;AZUL;909;;
91;CN;117867;E;12.0;0;;2.57831;634,84;0.19923;AZUL;909;;
119;CN;84331;A;19.0;0;;2.53465;740,95;0.0954;AZUL;909;;
103;CN;88260;E;7.0;0;;2.12286;666,35;0.22982;AZUL;909;;
133;CN;88403;D;5.0;0;;2.9738;696,75;0.12076;AZUL;909;;
110;CN;111623;B;9.0;0;;2.5914;640,59;0.13998;AZUL;909;;
132;CN;111664;A;13.0;0;;2.45876;544,93;0.19743;AZUL;909;;
117;CN;98020;B;8.0;0;;1.36007;679,78;0.13996;AZUL;909;;
121;CN;78726;E;16.0;0;;1.27392;676,47;0.13413;AZUL;909;;
112;CN;85079;E;11.0;0;;0.92989;427,29;0.02105;AZUL;909;;
98;CN;111498;D;14.0;0;;0.7292;881,49;0.10881;AZUL;909;;
106;CN;117891;C;22.0;0;;0.81733;729,11;0.15388;AZUL;909;;
93;CN;68355;E;28.0;0;;1.89221;564,63;0.16333;AZUL;909;;
118;CN;86378;D;30.0;1;Não permitiu a convergência do algoritmo de estimação da TRI;;0,00;;AZUL;909;;
105;CN;59907;A;20.0;0;;2.3659;702,54;0.14126;AZUL;909;;
114;CN;19227;B;14.0;0;;2.39928;665,73;0.14967;AZUL;909;;
108;CN;98108;D;3.0;0;;2.76968;571,69;0.24269;AZUL;909;;
107;CN;60284;C;6.0;0;;1.89764;677,37;0.22707;AZUL;909;;
109;CN;89864;C;17.0;0;;2.59028;666,72;0.26726;AZUL;909;;
116;CN;84502;C;19.0;0;;2.1616;743,32;0.3388;AZUL;909;;
99;CN;126594;A;9.0;0;;2.7664;551,39;0.30712;AZUL;909;;
