CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
163;MT;30294;X;4;1;Anulado;;0;;Azul;459;;0
11;LC;22654;B;20;0;;179.575;423,79;0.20153;Azul;495;;0
125;CN;97856;C;4;0;;244.969;447,64;0.17997;Azul;489;;0
77;CH;40158;D;22;0;;164.192;447,94;0.20366;Azul;491;;0
12;LC;27299;B;30;0;;201.498;453,35;0.20636;Azul;495;;0
45;LC;86700;B;9;0;;239.033;456,63;0.18399;Azul;495;;0
2;LC;7212;A;6;0;;202.251;457,89;0.20161;Azul;495;1.0;0
57;CH;78160;A;8;0;;161.733;460,83;0.1742;Azul;491;;0
74;CH;85147;D;20;0;;221.574;474,87;0.14176;Azul;491;;0
54;CH;88071;B;6;0;;223.822;479,66;0.17789;Azul;491;;0
40;LC;54762;B;15;0;;232.736;482,35;0.16574;Azul;495;;0
48;CH;97728;D;3;0;;236.968;483,54;0.1557;Azul;491;;0
8;LC;16760;D;1;0;;213.606;485,89;0.19431;Azul;495;;0
89;CH;63741;D;30;0;;200.386;494,74;0.20179;Azul;491;;0
79;CH;97278;D;23;0;;173.416;495,6;0.18703;Azul;491;;0
75;CH;97631;C;20;0;;187.753;497,72;0.14179;Azul;491;;0
73;CH;83910;A;15;0;;150.702;499,65;0.24805;Azul;491;;0
55;CH;40718;B;7;0;;322.764;500,21;0.14534;Azul;491;;0
9;LC;85647;D;28;0;;214.199;501,04;0.15978;Azul;495;;0
62;CH;24397;D;13;0;;2.342;503,49;0.15292;Azul;491;;0
22;LC;111948;B;20;0;;143.134;504,64;0.08559;Azul;455;;0
67;CH;9367;A;16;0;;206.636;505,17;0.22283;Azul;491;;0
84;CH;26952;C;26;0;;176.129;511,99;0.20778;Azul;491;;0
159;MT;111609;A;9;0;;191.344;512,17;0.34263;Azul;459;;0
60;CH;96884;B;11;0;;201.758;513,33;0.16439;Azul;491;;0
59;CH;14801;B;10;0;;201.172;518,31;0.15751;Azul;491;;0
5;LC;59531;B;7;0;;117.987;518,9;0.05644;Azul;455;1.0;0
127;CN;12210;C;18;0;;144.775;519,19;0.21385;Azul;489;;0
173;MT;86427;D;20;0;;268.024;522,69;0.13142;Azul;501;;0
44;LC;30102;E;9;0;;14.895;528,14;0.21417;Azul;495;;0
11;LC;112018;B;12;0;;144.002;528,21;0.01065;Azul;455;;0
132;CN;7772;E;8;0;;19.055;529,74;0.14003;Azul;489;;0
