CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
46;CH;140506;D;26;0;;0.98121;634.9;0.06218;AZUL;1055;;0
90;CH;111984;A;3;0;;1.90716;636.09;0.22521;AZUL;1055;;0
89;CH;140190;C;5;0;;1.94428;527.39;0.14788;AZUL;1055;;0
88;CH;96516;E;2;0;;1.96743;720.59;0.08863;AZUL;1055;;0
87;CH;140572;B;19;0;;2.46583;573.77;0.17053;AZUL;1055;;0
86;CH;96291;C;1;0;;2.9037;666.08;0.10307;AZUL;1055;;0
85;CH;125944;D;4;0;;1.69059;529.13;0.1166;AZUL;1055;;0
84;CH;111893;C;3;0;;0.56617;658.01;0.03472;AZUL;1055;;0
83;CH;141072;B;8;0;;2.78275;564.42;0.18557;AZUL;1055;;0
82;CH;140643;B;6;0;;2.21197;642.36;0.21778;AZUL;1055;;0
81;CH;95739;D;12;0;;4.24795;596.27;0.16049;AZUL;1055;;0
80;CH;95823;C;3;0;;1.30094;582.45;0.0937;AZUL;1055;;0
79;CH;140378;A;5;0;;2.1636;557.48;0.15916;AZUL;1055;;0
78;CH;67980;E;6;0;;4.03907;633.06;0.05942;AZUL;1055;;0
77;CH;140550;A;27;0;;3.5293;541.13;0.19018;AZUL;1055;;0
76;CH;140441;D;29;0;;1.76207;631.97;0.21908;AZUL;1055;;0
75;CH;140721;E;5;0;;0.81842;592.56;0.02544;AZUL;1055;;0
74;CH;118110;C;6;0;;2.22329;679.85;0.25237;AZUL;1055;;0
73;CH;75825;B;13;0;;2.34384;597.02;0.12421;AZUL;1055;;0
72;CH;141384;D;18;0;;3.39376;605.61;0.15958;AZUL;1055;;0
71;CH;44230;A;23;0;;2.73837;586.16;0.21624;AZUL;1055;;0
70;CH;97262;A;15;0;;1.46058;455.99;0.20483;AZUL;1055;;0
69;CH;82962;A;15;0;;1.7267;634.24;0.16873;AZUL;1055;;0
68;CH;111964;D;7;0;;2.81132;554.45;0.20515;AZUL;1055;;0
67;CH;141148;D;10;0;;3.48759;579.82;0.18644;AZUL;1055;;0
66;CH;140914;C;14;0;;0.85459;713.24;0.12367;AZUL;1055;;0
65;CH;141048;B;22;0;;1.63923;427.36;0.00905;AZUL;1055;;0
64;CH;84199;A;29;1;bisblg < -0.15;;;;AZUL;1055;;0
63;CH;112145;B;11;0;;0.47387;725.06;0.00901;AZUL;1055;;0
62;CH;140585;C;9;0;;2.18434;660.48;0.16086;AZUL;1055;;0
61;CH;141030;E;16;0;;3.15825;530.78;0.14196;AZUL;1055;;0
60;CH;140429;B;20;0;;2.16917;575.17;0.18087;AZUL;1055;;0
59;CH;118066;C;19;0;;1.933;569.05;0.17203;AZUL;1055;;0
58;CH;125654;E;14;0;;1.49576;547.56;0.01589;AZUL;1055;;0
57;CH;141355;A;23;0;;2.81233;685.76;0.17604;AZUL;1055;;0
56;CH;141364;A;20;0;;1.83281;482.46;0.04287;AZUL;1055;;0
55;CH;140631;B;28;0;;1.57605;733.97;0.25072;AZUL;1055;;0
54;CH;125706;E;25;0;;0.5628;708.51;0.00958;AZUL;1055;;0
53;CH;140568;A;21;0;;1.48568;587.45;0.17248;AZUL;1055;;0
52;CH;88045;D;18;0;;3.62371;551.64;0.275;AZUL;1055;;0
51;CH;87207;E;17;0;;4.79392;619.62;0.12998;AZUL;1055;;0
50;CH;140682;E;27;0;;1.88815;659.33;0.13196;AZUL;1055;;0
49;CH;140639;B;30;0;;2.71371;559.05;0.19782;AZUL;1055;;0
48;CH;141322;A;24;0;;2.8995;457.59;0.19356;AZUL;1055;;0
47;CH;83806;E;24;0;;1.98269;565.73;0.08702;AZUL;1055;;0
1;LC;111918;D;8;0;;3.71022;534.92;0.20287;AZUL;1065;0.0;0
45;LC;141261;E;14;0;;2.31367;548.33;0.18144;AZUL;1065;;0
44;LC;81994;C;12;0;;0.91022;576.59;0.01172;AZUL;1065;;0
43;LC;78112;E;17;0;;0.76335;546.07;0.00865;AZUL;1065;;0
42;LC;90238;D;17;0;;1.32058;569.55;0.07827;AZUL;1065;;0
41;LC;10776;B;17;0;;1.35922;489.51;0.00701;AZUL;1065;;0
40;LC;6864;D;16;0;;0.57225;509.79;0.01556;AZUL;1065;;0
39;LC;54528;E;13;0;;2.90825;705.31;0.10359;AZUL;1065;;0
38;LC;120368;B;12;0;;3.46434;720.56;0.0675;AZUL;1065;;0
37;LC;141390;A;30;0;;1.54579;469.52;0.00839;AZUL;1065;;0
36;LC;111961;C;2;0;;1.6838;570.64;0.29621;AZUL;1065;;0
35;LC;140898;C;1;0;;1.69478;732.56;0.16355;AZUL;1065;;0
34;LC;119767;D;11;0;;2.11177;444.13;0.18565;AZUL;1065;;0
33;LC;86703;A;1;0;;2.08922;596.39;0.23742;AZUL;1065;;0
32;LC;44570;A;3;0;;1.04632;565.81;0.23788;AZUL;1065;;0
31;LC;89149;A;16;0;;1.05565;545.77;0.03348;AZUL;1065;;0
30;LC;26545;C;15;0;;4.15101;634.8;0.0928;AZUL;1065;;0
29;LC;111954;D;15;0;;0.78612;619.88;0.06459;AZUL;1065;;0
28;LC;120626;B;20;0;;0.82491;589.71;0.03562;AZUL;1065;;0
27;LC;141410;B;21;0;;2.62079;520.07;0.10693;AZUL;1065;;0
26;LC;96502;C;19;0;;1.14926;448.4;0.00912;AZUL;1065;;0
25;LC;141203;C;9;0;;1.71461;484.86;0.18763;AZUL;1065;;0
24;LC;141440;E;26;0;;2.72306;513.27;0.20082;AZUL;1065;;0
23;LC;9716;E;16;0;;0.9036;648.14;0.05685;AZUL;1065;;0
22;LC;39101;E;22;0;;2.07003;619.1;0.13567;AZUL;1065;;0
21;LC;140827;B;15;0;;2.05337;567.99;0.17382;AZUL;1065;;0
20;LC;45201;C;10;0;;2.64453;604.53;0.13269;AZUL;1065;;0
19;LC;120124;C;9;0;;2.93292;503.34;0.17638;AZUL;1065;;0
18;LC;67229;A;18;0;;2.64295;676.93;0.18786;AZUL;1065;;0
17;LC;141464;B;4;0;;0.94658;625.17;0.21415;AZUL;1065;;0
16;LC;141427;E;3;0;;2.40522;728.14;0.1137;AZUL;1065;;0
15;LC;111926;B;4;0;;2.48072;589.72;0.27108;AZUL;1065;;0
14;LC;42940;D;22;0;;1.30734;470.12;0.00797;AZUL;1065;;0
13;LC;120622;B;30;0;;2.558;565.1;0.12178;AZUL;1065;;0
12;LC;42674;B;27;0;;2.26956;551.89;0.2337;AZUL;1065;;0
11;LC;41810;A;29;0;;0.92958;515.1;0.01173;AZUL;1065;;0
10;LC;49544;C;28;0;;2.43974;615.87;0.12513;AZUL;1065;;0
9;LC;66576;A;24;0;;2.66065;425.69;0.13295;AZUL;1065;;0
8;LC;118120;A;23;0;;1.53331;716.7;0.23705;AZUL;1065;;0
7;LC;111929;A;22;0;;2.15283;651.64;0.20049;AZUL;1065;;0
6;LC;60382;E;25;0;;1.77346;568.05;0.08704;AZUL;1065;;0
5;LC;140567;A;5;0;;1.95054;488.38;0.18874;AZUL;1065;1.0;0
4;LC;140527;A;5;0;;1.12895;488.49;0.20583;AZUL;1065;1.0;0
3;LC;76318;C;8;0;;0.56882;697.79;0.12768;AZUL;1065;1.0;0
2;LC;118252;D;6;0;;1.93731;592.0;0.14292;AZUL;1065;1.0;0
1;LC;118230;E;7;0;;1.79286;464.71;0.09108;AZUL;1065;1.0;0
5;LC;140626;E;6;0;;2.55762;557.35;0.15419;AZUL;1065;0.0;0
4;LC;140731;D;5;0;;2.88489;549.59;0.18224;AZUL;1065;0.0;0
3;LC;140767;B;6;0;;4.34313;536.87;0.44865;AZUL;1065;0.0;0
2;LC;111835;C;7;0;;2.64617;579.05;0.1896;AZUL;1065;0.0;0
136;MT;97590;E;25;0;;2.33252;740.9;0.14217;AZUL;1075;;0
180;MT;10409;E;6;0;;1.66982;703.63;0.24595;AZUL;1075;;0
179;MT;85588;B;24;0;;2.30031;546.7;0.25799;AZUL;1075;;0
178;MT;19807;E;12;0;;4.1583;756.7;0.06542;AZUL;1075;;0
177;MT;95676;A;26;0;;1.32325;564.8;0.18728;AZUL;1075;;0
176;MT;117886;D;9;0;;0.4443;1127.51;0.1251;AZUL;1075;;0
175;MT;60441;E;1;0;;1.42701;497.6;0.11013;AZUL;1075;;0
174;MT;14797;D;8;0;;2.93886;757.77;0.12028;AZUL;1075;;0
173;MT;30327;D;25;0;;2.81078;563.98;0.16335;AZUL;1075;;0
172;MT;117742;B;13;0;;0.65574;758.86;0.1651;AZUL;1075;;0
171;MT;96315;A;29;0;;1.69166;587.45;0.20606;AZUL;1075;;0
170;MT;68123;B;26;0;;2.18973;632.98;0.04601;AZUL;1075;;0
169;MT;63204;E;9;0;;3.78296;688.96;0.14444;AZUL;1075;;0
168;MT;10322;C;6;0;;1.53551;594.72;0.1917;AZUL;1075;;0
167;MT;68369;A;4;0;;2.57245;658.6;0.10176;AZUL;1075;;0
166;MT;31516;A;20;0;;1.50662;677.7;0.15235;AZUL;1075;;0
165;MT;82581;A;10;0;;1.90672;730.1;0.10655;AZUL;1075;;0
164;MT;117877;B;12;0;;2.65709;664.46;0.20086;AZUL;1075;;0
163;MT;32369;D;30;0;;3.12341;740.38;0.16659;AZUL;1075;;0
162;MT;111516;C;24;0;;1.82335;638.1;0.13879;AZUL;1075;;0
161;MT;28683;A;11;0;;3.13149;733.34;0.21903;AZUL;1075;;0
160;MT;8364;A;6;0;;0.89111;743.21;0.25086;AZUL;1075;;0
159;MT;85013;B;2;0;;2.17147;754.23;0.1841;AZUL;1075;;0
158;MT;53461;C;23;0;;2.67778;737.31;0.20523;AZUL;1075;;0
157;MT;39443;X;19;1;anulado pedagogicamente;;;;AZUL;1075;;0
156;MT;63646;C;7;0;;0.79395;740.68;0.1129;AZUL;1075;;0
155;MT;47309;B;2;0;;0.92146;716.92;0.15718;AZUL;1075;;0
154;MT;43182;C;3;0;;2.19381;656.69;0.1302;AZUL;1075;;0
153;MT;86466;C;14;0;;2.96283;744.8;0.21497;AZUL;1075;;0
152;MT;85228;C;18;0;;2.1343;873.78;0.24053;AZUL;1075;;0
151;MT;30053;C;17;0;;1.73381;702.11;0.14967;AZUL;1075;;0
150;MT;85343;D;22;0;;2.13479;822.2;0.12748;AZUL;1075;;0
149;MT;111738;B;27;0;;2.64614;721.35;0.24887;AZUL;1075;;0
148;MT;61248;D;15;0;;2.61757;725.15;0.1851;AZUL;1075;;0
147;MT;117820;C;17;0;;0.48694;948.65;0.14739;AZUL;1075;;0
146;MT;95509;E;21;0;;2.27997;741.53;0.11329;AZUL;1075;;0
145;MT;117651;E;18;0;;0.51115;758.4;0.0088;AZUL;1075;;0
144;MT;75829;C;1;0;;1.18017;692.19;0.16856;AZUL;1075;;0
143;MT;5961;D;7;0;;0.9032;745.13;0.1617;AZUL;1075;;0
142;MT;86499;B;5;0;;2.93676;833.57;0.21207;AZUL;1075;;0
141;MT;89637;E;28;1;Convergência;;;;AZUL;1075;;0
140;MT;10500;B;3;0;;1.57712;830.11;0.16855;AZUL;1075;;0
139;MT;117973;A;11;0;;1.87291;786.03;0.18347;AZUL;1075;;0
138;MT;30493;D;27;0;;0.80375;727.56;0.12859;AZUL;1075;;0
137;MT;86840;C;28;0;;0.24441;965.33;0.03228;AZUL;1075;;0
91;CN;141574;A;27;0;;0.69982;645.36;0.03441;AZUL;1085;;0
135;CN;82765;E;1;0;;0.98394;603.39;0.00428;AZUL;1085;;0
134;CN;75845;D;1;1;BLG não rodou;;;;AZUL;1085;;0
133;CN;31313;D;2;0;;1.71131;642.36;0.1615;AZUL;1085;;0
132;CN;88655;D;4;0;;3.82953;585.52;0.11511;AZUL;1085;;0
131;CN;141503;C;3;0;;2.86161;549.48;0.1606;AZUL;1085;;0
130;CN;126560;C;22;0;;2.41581;578.82;0.19317;AZUL;1085;;0
129;CN;28632;C;9;0;;1.99451;678.68;0.12762;AZUL;1085;;0
128;CN;111613;A;2;0;;3.25053;620.51;0.08404;AZUL;1085;;0
127;CN;111431;E;9;0;;3.48192;670.43;0.15448;AZUL;1085;;0
126;CN;83901;B;8;0;;0.40583;751.68;0.00918;AZUL;1085;;0
125;CN;98106;E;13;0;;2.46518;646.75;0.06515;AZUL;1085;;0
124;CN;141547;B;10;0;;1.90673;646.44;0.34041;AZUL;1085;;0
123;CN;87998;E;3;0;;2.14355;677.91;0.08867;AZUL;1085;;0
122;CN;141726;A;11;0;;1.68577;610.71;0.12014;AZUL;1085;;0
121;CN;37769;B;14;0;;1.78429;750.06;0.27071;AZUL;1085;;0
120;CN;96244;E;15;0;;5.67249;652.79;0.14273;AZUL;1085;;0
119;CN;64203;A;5;1;bisblg < -0.15;;;;AZUL;1085;;0
118;CN;78716;C;14;0;;2.02681;556.74;0.2452;AZUL;1085;;0
117;CN;97761;C;17;0;;0.8924;601.7;0.29789;AZUL;1085;;0
116;CN;78377;B;6;0;;0.60239;740.14;0.12017;AZUL;1085;;0
115;CN;141545;B;12;0;;2.33494;644.8;0.20932;AZUL;1085;;0
114;CN;117854;C;15;0;;3.55169;649.4;0.20257;AZUL;1085;;0
113;CN;141605;D;19;1;Bilog não converge;;;;AZUL;1085;;0
112;CN;89554;D;7;1;BLG não rodou;;;;AZUL;1085;;0
111;CN;43073;A;17;0;;1.48588;596.74;0.24215;AZUL;1085;;0
110;CN;141712;D;16;0;;1.87507;591.05;0.15109;AZUL;1085;;0
109;CN;96189;D;22;0;;2.54149;620.77;0.21012;AZUL;1085;;0
108;CN;44969;B;25;0;;3.07166;689.13;0.25272;AZUL;1085;;0
107;CN;85860;C;24;0;;5.31621;704.29;0.17088;AZUL;1085;;0
106;CN;97915;C;24;0;;2.39896;776.59;0.1897;AZUL;1085;;0
105;CN;28034;A;18;0;;1.51222;641.87;0.14908;AZUL;1085;;0
104;CN;97727;E;18;0;;2.35097;600.99;0.30639;AZUL;1085;;0
103;CN;85445;E;20;0;;4.44898;640.48;0.15587;AZUL;1085;;0
102;CN;141731;E;29;0;;1.52512;819.2;0.11283;AZUL;1085;;0
101;CN;31381;C;26;0;;1.75013;652.51;0.16155;AZUL;1085;;0
100;CN;90130;B;20;0;;1.73494;708.84;0.27619;AZUL;1085;;0
99;CN;41054;A;28;0;;1.2012;597.6;0.22536;AZUL;1085;;0
98;CN;141725;E;29;0;;1.82114;693.17;0.06674;AZUL;1085;;0
97;CN;141597;B;26;0;;2.13571;660.96;0.14865;AZUL;1085;;0
96;CN;81969;A;21;0;;2.00512;635.45;0.16882;AZUL;1085;;0
95;CN;111558;D;21;0;;3.29206;665.71;0.14008;AZUL;1085;;0
94;CN;111694;A;27;0;;2.07884;723.41;0.17191;AZUL;1085;;0
93;CN;111668;B;23;0;;1.98964;687.76;0.19415;AZUL;1085;;0
92;CN;18228;D;30;0;;1.95358;646.5;0.11246;AZUL;1085;;0
