CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
6;LC;150678;E;20;0;;3.15898;516.78;0.17207;AZUL;1395;;0
7;LC;14475;D;1;0;;2.3698;476.51;0.12324;AZUL;1353;;0
7;LC;14475;D;1;0;;2.3698;476.51;0.12324;AZUL;1441;;0
7;LC;150675;C;3;0;;2.79235;467.69;0.16431;AZUL;1395;;0
8;LC;141218;B;14;0;;2.44925;499.07;0.19459;AZUL;1395;;0
8;LC;141238;D;13;0;;1.30507;724.5;0.3219;AZUL;1353;;0
8;LC;141238;D;13;0;;1.30507;724.5;0.3219;AZUL;1441;;0
9;LC;140807;A;30;0;;2.58687;511.88;0.21034;AZUL;1353;;0
9;LC;140807;A;30;0;;2.58687;511.88;0.21034;AZUL;1441;;0
9;LC;141206;E;10;0;;2.11831;455.8;0.19567;AZUL;1395;;0
10;LC;140816;A;19;0;;2.384;668.91;0.25667;AZUL;1353;;0
10;LC;140816;A;19;0;;2.384;668.91;0.25667;AZUL;1441;;0
10;LC;150425;C;29;0;;4.01406;528.54;0.20514;AZUL;1395;;0
11;LC;140831;E;16;0;;2.24213;640.97;0.18204;AZUL;1353;;0
11;LC;140831;E;16;0;;2.24213;640.97;0.18204;AZUL;1441;;0
11;LC;150680;E;26;0;;1.56187;678.43;0.1507;AZUL;1395;;0
12;LC;141263;E;10;0;;2.2051;689.88;0.16464;AZUL;1353;;0
12;LC;141263;E;10;0;;2.2051;689.88;0.16464;AZUL;1441;;0
12;LC;150766;D;20;0;;5.24443;529.92;0.19478;AZUL;1395;;0
13;LC;140935;C;16;0;;1.38987;648.83;0.2771;AZUL;1353;;0
13;LC;140935;C;16;0;;1.38987;648.83;0.2771;AZUL;1441;;0
5;LC;97312;E;7;0;;3.84493;588.65;0.10345;AZUL;1395;0.0;0
5;LC;118285;B;8;0;;2.4521;540.33;0.20257;AZUL;1353;0.0;0
5;LC;118285;B;8;0;;2.4521;540.33;0.20257;AZUL;1441;0.0;0
5;LC;140727;C;6;0;;1.90346;506.76;0.17804;AZUL;1353;1.0;0
5;LC;140727;C;6;0;;1.90346;506.76;0.17804;AZUL;1441;1.0;0
5;LC;140760;A;6;0;;2.84933;597.23;0.14988;AZUL;1395;1.0;0
6;LC;150629;D;18;0;;1.63483;522.79;0.18384;AZUL;1353;;0
6;LC;150629;D;18;0;;1.63483;522.79;0.18384;AZUL;1441;;0
17;LC;96456;E;22;0;;2.85265;596.69;0.12627;AZUL;1353;;0
17;LC;96456;E;22;0;;2.85265;596.69;0.12627;AZUL;1441;;0
17;LC;150627;E;23;0;;4.32713;496.78;0.14822;AZUL;1395;;0
1;LC;61929;C;6;0;;5.00865;550.12;0.13688;AZUL;1395;0.0;0
1;LC;140710;C;7;0;;1.2195;621.83;0.22976;AZUL;1395;1.0;0
1;LC;140714;D;6;0;;1.84217;595.74;0.20836;AZUL;1353;0.0;0
1;LC;140714;D;6;0;;1.84217;595.74;0.20836;AZUL;1441;0.0;0
1;LC;140787;D;8;0;;1.68516;629.85;0.17632;AZUL;1353;1.0;0
1;LC;140787;D;8;0;;1.68516;629.85;0.17632;AZUL;1441;1.0;0
2;LC;118194;A;5;0;;4.67112;581.08;0.33341;AZUL;1395;0.0;0
2;LC;140673;A;7;0;;2.94433;590.44;0.1784;AZUL;1353;1.0;0
2;LC;140673;A;7;0;;2.94433;590.44;0.1784;AZUL;1441;1.0;0
2;LC;140769;A;5;0;;2.60033;662.06;0.49999;AZUL;1353;0.0;0
2;LC;140769;A;5;0;;2.60033;662.06;0.49999;AZUL;1441;0.0;0
2;LC;140789;D;8;0;;1.94088;608.53;0.16079;AZUL;1395;1.0;0
3;LC;87876;A;7;0;;3.85743;508.81;0.5;AZUL;1395;0.0;0
3;LC;140591;D;7;0;;1.58965;445.63;0.20012;AZUL;1353;0.0;0
3;LC;140591;D;7;0;;1.58965;445.63;0.20012;AZUL;1441;0.0;0
3;LC;140663;D;5;0;;1.59952;688.03;0.12125;AZUL;1353;1.0;0
3;LC;140663;D;5;0;;1.59952;688.03;0.12125;AZUL;1441;1.0;0
3;LC;141730;D;8;0;;1.90192;567.06;0.16827;AZUL;1395;1.0;0
4;LC;47987;C;6;0;;2.20493;612.69;0.183;AZUL;1353;0.0;0
4;LC;47987;C;6;0;;2.20493;612.69;0.183;AZUL;1441;0.0;0
4;LC;111888;D;5;0;;0.88567;532.82;0.01968;AZUL;1395;1.0;0
4;LC;118157;A;8;0;;2.78496;552.1;0.15014;AZUL;1395;0.0;0
4;LC;118208;C;8;0;;1.47453;540.49;0.18029;AZUL;1353;1.0;0
4;LC;118208;C;8;0;;1.47453;540.49;0.18029;AZUL;1441;1.0;0
37;LC;141444;C;18;0;;2.10871;563.8;0.12831;AZUL;1395;;0
38;LC;118297;B;17;0;;2.32301;539.68;0.16215;AZUL;1395;;0
38;LC;150605;E;29;0;;1.68854;500.98;0.20499;AZUL;1353;;0
38;LC;150605;E;29;0;;1.68854;500.98;0.20499;AZUL;1441;;0
39;LC;120372;C;11;0;;4.08733;526.15;0.21651;AZUL;1353;;0
39;LC;120372;C;11;0;;4.08733;526.15;0.21651;AZUL;1441;;0
39;LC;150666;E;27;0;;3.54677;531.79;0.12491;AZUL;1395;;0
40;LC;15097;C;12;1;Algoritmo não convergiu;;;;AZUL;1353;;0
40;LC;15097;C;12;1;Algoritmo não convergiu;;;;AZUL;1441;;0
40;LC;118217;D;9;0;;2.59075;581.71;0.21069;AZUL;1395;;0
41;LC;118098;C;11;0;;3.6852;479.51;0.20362;AZUL;1353;;0
41;LC;118098;C;11;0;;3.6852;479.51;0.20362;AZUL;1441;;0
13;LC;150621;D;19;0;;3.14973;496.57;0.20588;AZUL;1395;;0
14;LC;140894;C;25;0;;3.03049;600.96;0.2486;AZUL;1395;;0
14;LC;150780;E;24;0;;2.88059;472.61;0.19156;AZUL;1353;;0
14;LC;150780;E;24;0;;2.88059;472.61;0.19156;AZUL;1441;;0
15;LC;140982;C;17;0;;1.71111;659.4;0.12056;AZUL;1353;;0
15;LC;140982;C;17;0;;1.71111;659.4;0.12056;AZUL;1441;;0
15;LC;150540;B;30;0;;2.19541;546.22;0.12159;AZUL;1395;;0
16;LC;141221;D;13;0;;3.92192;561.08;0.24818;AZUL;1395;;0
16;LC;150521;B;17;0;;2.47659;641.11;0.21138;AZUL;1353;;0
16;LC;150521;B;17;0;;2.47659;641.11;0.21138;AZUL;1441;;0
45;LC;150600;A;21;0;;1.10756;657.18;0.27729;AZUL;1353;;0
45;LC;150600;A;21;0;;1.10756;657.18;0.27729;AZUL;1441;;0
45;LC;150676;B;4;0;;1.5787;499.06;0.05369;AZUL;1395;;0
46;CH;140794;B;26;0;;1.30844;625.07;0.18571;AZUL;1343;;0
46;CH;140794;B;26;0;;1.30844;625.07;0.18571;AZUL;1431;;0
46;CH;141067;C;26;0;;2.46856;624.64;0.17816;AZUL;1383;;0
47;CH;141035;E;11;0;;1.4122;527.28;0.0807;AZUL;1383;;0
47;CH;149788;C;5;0;;1.8508;648.33;0.34371;AZUL;1343;;0
47;CH;149788;C;5;0;;1.8508;648.33;0.34371;AZUL;1431;;0
26;LC;118254;B;11;0;;2.1269;462.15;0.00587;AZUL;1395;;0
26;LC;150668;C;21;0;;2.90014;558.46;0.17607;AZUL;1353;;0
26;LC;150668;C;21;0;;2.90014;558.46;0.17607;AZUL;1441;;0
27;LC;150602;B;2;0;;1.07077;504.63;0.21574;AZUL;1353;;0
27;LC;150602;B;2;0;;1.07077;504.63;0.21574;AZUL;1441;;0
