CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CH;44604;C;5;0;;3.43894;597,83;0.10855;AZUL;395;;0
1;CH;54004;D;24;0;;1.70138;559,90;0.24908;AZUL;435;;0
1;CN;29460;D;7;0;;4.15611;660,60;0.17345;AZUL;391;;0
1;CN;55753;C;1;0;;3.58463;439,41;0.18169;AZUL;433;;0
1;LC;18292;B;5;0;;3.76641;602,06;0.26396;AZUL;439;0.0;0
1;LC;48074;D;6;0;;4.52165;553,97;0.24458;AZUL;399;0.0;0
1;MT;25338;C;21;0;;2.24462;543,20;0.16165;AZUL;445;;0
1;MT;87141;A;19;0;;0.80131;914,32;0.1181;AZUL;403;;0
2;CH;38250;D;9;0;;3.00837;549,17;0.13877;AZUL;395;;0
2;CH;53788;C;5;0;;3.18886;547,24;0.1857;AZUL;435;;0
2;CN;8568;A;28;0;;2.48746;490,21;0.19043;AZUL;433;;0
2;CN;59980;E;2;0;;3.62645;611,22;0.11193;AZUL;391;;0
2;LC;37043;D;6;0;;3.20601;568,68;0.15385;AZUL;399;0.0;0
2;LC;64089;A;6;0;;2.87437;542,81;0.19261;AZUL;439;0.0;0
2;MT;17289;A;1;0;;1.57905;596,72;0.19775;AZUL;445;;0
2;MT;84945;D;23;0;;0.76406;965,56;0.13227;AZUL;403;;0
3;CH;15471;B;18;0;;1.99275;689,88;0.15561;AZUL;435;;0
3;CH;43284;D;23;0;;0.60432;825,99;0.08798;AZUL;395;;0
3;CN;49333;C;27;0;;2.87849;507,93;0.1558;AZUL;433;;0
3;CN;81339;E;17;0;;2.23639;665,62;0.24685;AZUL;391;;0
3;LC;7463;C;5;0;;4.13584;587,67;0.08482;AZUL;399;0.0;0
3;LC;23448;A;7;0;;2.296;485,82;0.18738;AZUL;439;0.0;0
3;MT;11758;B;8;0;;2.52165;659,12;0.16603;AZUL;403;;0
3;MT;42244;C;22;0;;1.85035;798,63;0.21663;AZUL;445;;0
4;CH;20338;C;9;0;;2.08859;732,24;0.25166;AZUL;435;;0
4;CH;81598;E;3;0;;1.85031;557,92;0.11344;AZUL;395;;0
4;CN;18373;B;20;0;;0.76288;524,25;0.21882;AZUL;433;;0
4;CN;81944;B;11;0;;4.3139;581,90;0.15681;AZUL;391;;0
4;LC;37683;C;6;0;;3.23952;520,59;0.20042;AZUL;439;0.0;0
4;LC;54099;D;7;0;;3.09698;550,32;0.23815;AZUL;399;0.0;0
4;MT;12873;E;19;0;;3.91771;793,14;0.13952;AZUL;445;;0
4;MT;68172;C;20;0;;2.27998;644,15;0.30754;AZUL;403;;0
5;CH;8172;C;13;0;;2.4629;576,31;0.17672;AZUL;395;;0
5;CH;76958;C;18;0;;1.67166;605,31;0.16373;AZUL;435;;0
5;CN;37732;D;16;0;;2.66587;538,50;0.17627;AZUL;433;;0
5;CN;43722;D;8;0;;4.50872;666,77;0.12154;AZUL;391;;0
5;LC;18212;E;7;0;;2.83695;571,55;0.20157;AZUL;399;0.0;0
5;LC;42335;B;7;0;;3.56712;532,16;0.20155;AZUL;439;0.0;0
5;MT;30605;D;20;0;;1.60132;603,09;0.13719;AZUL;445;;0
5;MT;43906;C;12;0;;1.91773;870,51;0.08701;AZUL;403;;0
