CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
67;CH;140611;A;19;0;;1.72609;482,62;0.1911;AZUL;1271;;0
65;CH;87839;A;9;0;;1.98671;612,59;0.26402;AZUL;1271;;0
23;LC;140844;D;18;0;;1.35625;479,86;0.209;AZUL;1281;;0
22;LC;140847;C;20;0;;3.15133;525,14;0.1738;AZUL;1201;;0
16;LC;140918;A;26;0;;2.96562;557,51;0.16642;AZUL;1201;;0
107;CN;12018;D;29;0;;1.82986;682,07;0.19864;AZUL;1221;;0
96;CN;63155;D;26;0;;3.97972;634,61;0.24211;AZUL;1221;;0
80;CH;141122;D;11;0;;2.6472;515,40;0.18491;AZUL;1271;;0
180;MT;111560;A;15;0;;2.34866;628,88;0.1796;AZUL;1251;;0
50;CH;140588;B;28;0;;2.21675;528,90;0.20874;AZUL;1271;;0
47;CH;141345;E;26;0;;1.64714;484,08;0.19597;AZUL;1271;;0
174;MT;125990;A;23;0;;2.71883;696,57;0.12171;AZUL;1251;;0
165;MT;77364;E;3;0;;2.32172;822,02;0.06466;AZUL;1251;;0
152;MT;14434;C;4;0;;1.22381;726,43;0.1642;AZUL;1251;;0
111;CN;97133;E;18;0;;2.64554;591,22;0.21322;AZUL;1261;;0
109;CN;117929;E;19;0;;3.66348;570,04;0.30851;AZUL;1261;;0
5;LC;140708;A;5;0;;2.51157;579,31;0.17248;AZUL;1281;0.0;0
31;LC;141450;A;2;0;;2.53799;599,71;0.24444;AZUL;1241;;0
23;LC;140844;D;18;0;;1.35625;479,86;0.209;AZUL;1241;;0
16;LC;141423;E;20;0;;2.43139;595,74;0.24644;AZUL;1241;;0
21;LC;141215;D;12;0;;2.56885;616,65;0.1452;AZUL;1241;;0
145;MT;125929;B;9;0;;1.58702;719,08;0.24232;AZUL;1211;;0
138;MT;141582;C;30;0;;1.46956;791,94;0.24283;AZUL;1211;;0
137;MT;31650;C;27;0;;3.33563;608,02;0.20912;AZUL;1211;;0
65;CH;87839;A;9;0;;1.98671;612,59;0.26402;AZUL;1231;;0
144;MT;141563;E;7;0;;2.0018;646,28;0.23942;AZUL;1291;;0
64;CH;141113;D;27;0;;1.20452;531,78;0.22687;AZUL;1191;;0
146;MT;53460;C;26;0;;2.93674;549,75;0.15129;AZUL;1291;;0
3;LC;140736;D;8;0;;2.40685;591,47;0.10159;AZUL;1201;0.0;0
42;LC;141802;E;10;0;;2.59779;496,91;0.21017;AZUL;1201;;0
32;LC;141229;A;14;0;;2.6904;608,30;0.17386;AZUL;1201;;0
90;CH;140571;B;4;0;;2.01758;647,03;0.23595;AZUL;1191;;0
76;CH;140534;D;6;0;;2.79594;544,01;0.15523;AZUL;1191;;0
67;CH;140499;B;30;0;;1.53812;512,89;0.18969;AZUL;1191;;0
66;CH;140166;A;15;0;;2.42214;437,98;0.09595;AZUL;1191;;0
160;MT;125959;B;23;0;;2.2547;615,25;0.16991;AZUL;1291;;0
157;MT;125975;A;6;0;;1.42997;657,89;0.13599;AZUL;1291;;0
151;MT;125914;D;24;0;;1.7035;607,04;0.1698;AZUL;1291;;0
81;CH;141350;A;12;0;;1.97882;737,90;0.24518;AZUL;1191;;0
172;MT;14812;D;20;0;;1.56944;499,91;0.11987;AZUL;1291;;0
157;MT;125975;A;6;0;;1.42997;657,89;0.13599;AZUL;1251;;0
92;CN;13403;B;29;0;;1.19366;644,06;0.11523;AZUL;1261;;0
50;CH;140588;B;28;0;;2.21675;528,90;0.20874;AZUL;1231;;0
15;LC;118195;B;30;0;;1.67063;493,99;0.08734;AZUL;1201;;0
11;LC;118301;D;23;0;;0.95292;452,24;0.00564;AZUL;1201;;0
6;LC;141233;D;9;0;;1.74151;550,45;0.15417;AZUL;1201;;0
175;MT;85504;B;21;0;;2.21375;682,99;0.15414;AZUL;1211;;0
165;MT;28932;E;8;0;;2.39434;698,39;0.11508;AZUL;1211;;0
154;MT;126028;B;7;0;;2.33037;691,64;0.0839;AZUL;1211;;0
178;MT;111754;B;15;0;;2.95569;784,31;0.24511;AZUL;1211;;0
76;CH;140180;A;11;0;;2.54102;557,88;0.1767;AZUL;1271;;0
125;CN;9513;B;6;0;;2.85738;634,05;0.11903;AZUL;1301;;0
121;CN;87842;E;9;0;;1.65903;658,50;0.24699;AZUL;1301;;0
115;CN;41122;C;15;0;;2.94887;569,94;0.20571;AZUL;1301;;0
86;CH;63858;C;4;0;;2.12258;582,43;0.22694;AZUL;1271;;0
54;CH;141136;A;1;0;;1.22125;763,78;0.30445;AZUL;1191;;0
98;CN;117924;E;27;0;;2.12814;710,13;0.11495;AZUL;1301;;0
76;CH;140180;A;11;0;;2.54102;557,88;0.1767;AZUL;1231;;0
74;CH;140538;A;6;0;;1.33134;583,51;0.23955;AZUL;1231;;0
135;CN;26042;D;19;0;;3.9865;663,48;0.19026;AZUL;1221;;0
130;CN;126604;D;12;0;;3.09202;532,87;0.1577;AZUL;1221;;0
8;LC;14727;D;16;0;;2.1034;492,29;0.12881;AZUL;1281;;0
46;CH;85740;D;23;0;;1.06381;536,02;0.20981;AZUL;1271;;0
90;CH;140539;E;7;0;;2.09613;522,56;0.2149;AZUL;1271;;0
180;MT;125969;C;30;0;;1.78452;574,31;0.18879;AZUL;1211;;0
98;CN;117924;E;27;0;;2.12814;710,13;0.11495;AZUL;1261;;0
94;CN;40431;B;24;0;;2.92795;678,51;0.12882;AZUL;1261;;0
34;LC;141405;C;4;0;;1.30934;454,15;0.20553;AZUL;1281;;0
35;LC;141243;A;11;0;;2.00614;472,35;0.09754;AZUL;1201;;0
100;CN;111665;C;20;0;;3.83841;604,69;0.14482;AZUL;1221;;0
106;CN;141723;C;11;0;;2.6872;569,49;0.15317;AZUL;1221;;0
135;CN;82828;A;3;0;;2.87792;669,12;0.05316;AZUL;1301;;0
131;CN;126533;A;1;0;;1.97611;697,23;0.15173;AZUL;1301;;0
114;CN;97149;A;17;0;;0.99037;655,82;0.20321;AZUL;1221;;0
110;CN;78578;B;17;0;;3.20349;699,26;0.20277;AZUL;1221;;0
176;MT;40387;D;17;0;;2.22187;636,51;0.13859;AZUL;1251;;0
88;CH;141044;C;2;0;;3.33701;527,93;0.20318;AZUL;1271;;0
173;MT;81329;D;19;0;;2.97925;678,75;0.19488;AZUL;1251;;0
171;MT;117727;A;11;0;;2.49104;801,09;0.08231;AZUL;1251;;0
